filename,add_lines,del_lines
proposals/bound-callable-references.md,2,2
proposals/data-class-inheritance.md,2,2
proposals/destructuring-in-parameters.md,1,1
proposals/extensions/android-parcelable.md,2,2
proposals/inline-properties.md,2,2
proposals/jdk-dependent-built-ins.md,2,2
proposals/jsr-305-custom-nullability-qualifiers.md,5,11
proposals/lateinit-property-intrinsics.md,264,264
proposals/lateinit-property-isinitialized-intrinsic.md,226,10
proposals/local-delegated-properties.md,2,2
proposals/stdlib/on-each.md,3,3
proposals/type-aliases.md,3,3
proposals/{lateinit-property-intrinsics.md,,
