filename,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05
kotlinx-benchmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,214,85,18,32,16,230,5,33,5,1,0,0,0,0,10,0,0,1,0,23,0,0,0,0,0,62,20,6,8,11,1,57,0,66,12,22,39,0,0,0,0,37,0,112,0,0,17,19,0,16,1,0,26,12,33,17,17,5,5,30,0,16,27,32,0
kotlin-by-example,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,72,6,0,0,0,0,19,0,0,1,32,0,0,0,184,52,11,73,56,34,3,0,0,58,2,0,0,0,0,2,1,3,0,1,0,0,0,1,3,3,2,1,0,0,3,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kotlinx.serialization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,115,225,79,55,45,3,15,22,27,6,19,147,13,309,186,269,60,43,202,201,307,18,26,334,27,52,13,107,188,203,547,188,149,12,286,623,329,596,151,26,39,59,48,59,121,127,40,34,87,107,14,38,34,76,26,1,9,26,547,50,14,49,77,50,12,45,56,18,22,61,46,96,40,81,59,17,46,9,11,45,70,0
kotlinx-atomicfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,112,24,15,14,0,0,1,0,81,0,23,21,32,25,96,15,67,10,9,0,39,13,10,3,4,27,5,65,5,0,2,17,5,7,0,0,3,0,40,38,38,0,4,8,2,0,0,5,10,1,8,7,0,0,33,1,9,4,21,3,0,2,19,0,15,9,4,10,8,12,15,7,17,10,30,67,48,50,12,20,8,0
kotlinx.coroutines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0,10,36,235,633,481,116,156,123,236,407,241,255,202,355,290,70,233,361,144,1254,351,327,1214,1224,151,267,490,154,271,432,173,219,356,283,241,158,37,169,11,697,249,203,108,28,96,82,14,336,94,110,83,469,101,379,91,33,138,53,74,160,243,58,30,50,10,27,65,78,118,87,83,108,16,30,26,211,77,31,51,46,105,17,18,20,81,176,1638,90,21,13,0
kotlinx-rpc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,273,185,163,509,275,66,140,0
kotlinx.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,386,256,45,10,216,389,46,59,115,74,11,0,2,14,22,6,29,10,12,1,82,27,35,49,0,0,2,18,2,7,118,0,30,39,1,0,60,15,0,0,0,2,3,12,1,5,0,0,0,5,0,0,0,0,0,0,115,47,1,0,0,0,0,39,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,13,3,1,0,0,0,1,0,0,0,0,20,13,0,0,17,2,0,0,93,25,0,0,0
kotlinx-datetime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,46,0,0,0,0,212,2,22,199,100,30,0,66,2,14,12,46,43,4,14,84,0,14,3,17,12,27,0,0,42,21,49,0,0,3,3,0,0,0,0,5,18,13,2,0,0,8,5,9,81,5,150,43,16,0
kotlin-jupyter-libraries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,10,0,3,23,6,2,4,0,2,8,9,15,19,4,11,4,6,5,7,5,2,0,3,0,3,5,5,8,0,2,1,3,11,14,14,8,83,9,1,17,9,8,8,8,11,9,14,15,0
dokka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,3,97,150,0,131,165,396,130,0,61,6,173,35,102,218,187,347,221,20,92,66,22,7,141,0,0,0,440,70,39,205,79,57,108,141,2,0,0,40,181,241,18,12,15,0,26,3,184,58,87,47,3,48,7,54,59,186,63,101,5,59,28,286,267,56,356,434,894,892,783,656,1261,1034,257,246,368,97,123,60,110,119,45,102,207,140,129,45,59,108,66,210,57,239,92,127,145,144,99,80,29,22,350,691,272,77,73,51,423,1397,364,553,1435,60,1205,134,130,287,0
