filename,add_lines,del_lines
.gitignore,2,1
.idea/ant.xml,0,8
.idea/codeStyleSettings.xml,106,5
.idea/compiler.xml,1,0
.idea/inspectionProfiles/idea_default.xml,4,3
.idea/libraries/idea_full.xml,1,0
.idea/libraries/intellij_core.xml,3,0
.idea/libraries/js_libs.xml,4,1
.idea/modules.xml,1,0
.idea/runConfigurations/All_Compiler_Tests.xml,6,0
.idea/runConfigurations/All_IDEA_Plugin_Tests.xml,8,0
.idea/runConfigurations/Integration_Tests.xml,33,0
ReadMe.md,9,4
TeamCityBuild.xml,2,2
bin/kotlin,1,1
build-tools/ant/src/org/jetbrains/jet/buildtools/ant/BytecodeCompilerTask.java,1,1
build-tools/build-tools.iml,2,0
build-tools/core/src/org/jetbrains/jet/buildtools/core/BytecodeCompiler.java,51,41
build.xml,150,20
build/jarjar-1.2.jar,0,0
compiler/backend/src/org/jetbrains/jet/cli/jvm/compiler/TipsManager.java,211,0
compiler/backend/src/org/jetbrains/jet/codegen/AnnotationCodegen.java,126,84
compiler/backend/src/org/jetbrains/jet/codegen/ClassBodyCodegen.java,9,6
compiler/backend/src/org/jetbrains/jet/codegen/ClassBuilder.java,6,20
compiler/backend/src/org/jetbrains/jet/codegen/ClassBuilderFactories.java,15,2
compiler/backend/src/org/jetbrains/jet/codegen/ClassBuilderFactory.java,3,0
compiler/backend/src/org/jetbrains/jet/codegen/ClassBuilderMode.java,29,0
compiler/backend/src/org/jetbrains/jet/codegen/ClassCodegen.java,2,2
compiler/backend/src/org/jetbrains/jet/codegen/ClosureAnnotator.java,12,3
compiler/backend/src/org/jetbrains/jet/codegen/ClosureCodegen.java,20,13
compiler/backend/src/org/jetbrains/jet/codegen/CodegenContext.java,8,19
compiler/backend/src/org/jetbrains/jet/codegen/CodegenUtil.java,2,18
compiler/backend/src/org/jetbrains/jet/codegen/CompilationErrorHandler.java,3,0
compiler/backend/src/org/jetbrains/jet/codegen/CompilationException.java,31,42
compiler/backend/src/org/jetbrains/jet/codegen/ExpressionCodegen.java,70,27
compiler/backend/src/org/jetbrains/jet/codegen/FunctionCodegen.java,65,44
compiler/backend/src/org/jetbrains/jet/codegen/GenerationState.java,52,36
compiler/backend/src/org/jetbrains/jet/codegen/GenerationUtils.java,0,43
compiler/backend/src/org/jetbrains/jet/codegen/ImplementationBodyCodegen.java,89,66
compiler/backend/src/org/jetbrains/jet/codegen/JetTypeMapper.java,168,87
compiler/backend/src/org/jetbrains/jet/codegen/MapTypeMode.java,31,0
compiler/backend/src/org/jetbrains/jet/codegen/NamespaceCodegen.java,3,2
compiler/backend/src/org/jetbrains/jet/codegen/ObjectOrClosureCodegen.java,5,5
compiler/backend/src/org/jetbrains/jet/codegen/PropertyCodegen.java,37,15
compiler/backend/src/org/jetbrains/jet/codegen/StackValue.java,24,18
compiler/backend/src/org/jetbrains/jet/codegen/TraitImplBodyCodegen.java,6,5
compiler/backend/src/org/jetbrains/jet/codegen/intrinsics/ArrayIterator.java,2,1
compiler/backend/src/org/jetbrains/jet/codegen/intrinsics/Concat.java,3,1
compiler/backend/src/org/jetbrains/jet/codegen/intrinsics/IdentityEquals.java,56,2
compiler/backend/src/org/jetbrains/jet/codegen/intrinsics/IntrinsicMethods.java,3,2
compiler/backend/src/org/jetbrains/jet/codegen/intrinsics/JavaClassFunction.java,3,5
compiler/backend/src/org/jetbrains/jet/codegen/signature/BothSignatureWriter.java,8,4
compiler/backend/src/org/jetbrains/jet/codegen/signature/JvmMethodSignature.java,2,1
compiler/backend/src/org/jetbrains/jet/compiler/TipsManager.java,30,216
compiler/backend/src/org/jetbrains/jet/di/InjectorForJetTypeMapper.java,23,3
compiler/backend/src/org/jetbrains/jet/di/InjectorForJvmCodegen.java,27,1
compiler/cli/bin/kotlinc,1,1
compiler/cli/bin/kotlinc.bat,1,1
compiler/cli/cli.iml,1,0
compiler/cli/src/org/jetbrains/jet/cli/CompilerArguments.java,14,165
compiler/cli/src/org/jetbrains/jet/cli/CompilerVersion.java,0,26
compiler/cli/src/org/jetbrains/jet/cli/KotlinCompiler.java,251,440
compiler/cli/src/org/jetbrains/jet/cli/common/ArgsUtil.java,,
compiler/cli/src/org/jetbrains/jet/cli/common/CLICompiler.java,146,5
compiler/cli/src/org/jetbrains/jet/cli/common/CompileEnvironmentConfig.java,,
compiler/cli/src/org/jetbrains/jet/cli/common/CompilerArguments.java,48,1
compiler/cli/src/org/jetbrains/jet/cli/common/CompilerPlugin.java,28,1
compiler/cli/src/org/jetbrains/jet/cli/common/CompilerPluginContext.java,59,0
compiler/cli/src/org/jetbrains/jet/cli/common/ExitCode.java,36,0
compiler/cli/src/org/jetbrains/jet/cli/common/messages/AnalyzerWithCompilerReport.java,151,0
compiler/cli/src/org/jetbrains/jet/cli/common/messages/CompilerMessageLocation.java,57,0
compiler/cli/src/org/jetbrains/jet/cli/common/messages/CompilerMessageSeverity.java,32,0
compiler/cli/src/org/jetbrains/jet/cli/common/messages/MessageCollector.java,31,0
compiler/cli/src/org/jetbrains/jet/cli/common/messages/MessageRenderer.java,100,1
compiler/cli/src/org/jetbrains/jet/cli/common/messages/MessageUtil.java,32,0
compiler/cli/src/org/jetbrains/jet/cli/common/messages/PrintingMessageCollector.java,73,0
compiler/cli/src/org/jetbrains/jet/cli/js/K2JSCompileEnvironmentConfiguration.java,36,0
compiler/cli/src/org/jetbrains/jet/cli/js/K2JSCompiler.java,100,2
compiler/cli/src/org/jetbrains/jet/cli/js/K2JSCompilerArguments.java,60,2
