date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,,
2015-05-01,,
2015-06-01,,
2015-07-01,,
2015-08-01,,
2015-09-01,,
2015-10-01,,
2015-11-01,,
2015-12-01,,
2016-01-01,,
2016-02-01,,
2016-03-01,2,0
2016-04-01,544,28
2016-05-01,856,92
2016-06-01,881,87
2016-07-01,880,235
2016-08-01,262,66
2016-09-01,174,43
2016-10-01,701,99
2016-11-01,154,52
2016-12-01,29,35
2017-01-01,,
2017-02-01,24,28
2017-03-01,1,1
2017-04-01,,
2017-05-01,117,70
2017-06-01,29,16
2017-07-01,301,0
2017-08-01,584,24
2017-09-01,240,65
2017-10-01,2,2
2017-11-01,,
2017-12-01,,
2018-01-01,,
2018-02-01,323,113
2018-03-01,,
2018-04-01,310,14
2018-05-01,,
2018-06-01,1222,570
2018-07-01,2410,498
2018-08-01,451,1
2018-09-01,1128,411
2018-10-01,2078,29
2018-11-01,5,3
2018-12-01,2,2
2019-01-01,64,8
2019-02-01,0,1
2019-03-01,42,29
2019-04-01,,
2019-05-01,24,8
2019-06-01,1,1
2019-07-01,,
2019-08-01,741,176
2019-09-01,,
2019-10-01,,
2019-11-01,,
2019-12-01,75,74
2020-01-01,,
2020-02-01,211,0
2020-03-01,206,55
2020-04-01,32,9
2020-05-01,,
2020-06-01,,
2020-07-01,1,1
2020-08-01,,
2020-09-01,,
2020-10-01,110,6
2020-11-01,152,160
2020-12-01,467,231
2021-01-01,578,213
2021-02-01,1437,6
2021-03-01,1332,143
2021-04-01,198,147
2021-05-01,85,52
2021-06-01,24,5
2021-07-01,246,11
2021-08-01,397,289
2021-09-01,1675,334
2021-10-01,,
2021-11-01,,
2021-12-01,,
2022-01-01,72,68
2022-02-01,98,7
2022-03-01,,
2022-04-01,3,3
2022-05-01,,
2022-06-01,1,31
2022-07-01,85,19
2022-08-01,480,8
2022-09-01,144,12
2022-10-01,1,1
2022-11-01,165,0
2022-12-01,150,1
2023-01-01,,
2023-02-01,,
2023-03-01,41,29
2023-04-01,201,0
2023-05-01,161,33
2023-06-01,,
2023-07-01,,
2023-08-01,,
2023-09-01,,
2023-10-01,320,0
2023-11-01,,
2023-12-01,,
2024-01-01,273,2
2024-02-01,388,23
2024-03-01,,
2024-04-01,1,1
2024-05-01,544,0
