date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,5799,18
2014-09-01,21190,4353
2014-10-01,1021,10322
2014-11-01,3264,2616
2014-12-01,4504,2892
2015-01-01,191,115
2015-02-01,1241,1154
2015-03-01,3065,1502
2015-04-01,45469,18084
2015-05-01,3837,2382
2015-06-01,7569,2872
2015-07-01,1013,298
2015-08-01,3182,8674
2015-09-01,25515,25129
2015-10-01,5168,4805
2015-11-01,1225,3338
2015-12-01,602,154
2016-01-01,5,5
2016-02-01,389,2085
2016-03-01,27,11
2016-04-01,1665,2034
2016-05-01,4065,3117
2016-06-01,503,877
2016-07-01,4,4
2016-08-01,33,12
2016-09-01,3,3
2016-10-01,3843,5109
2016-11-01,2300,2286
2016-12-01,841,240
2017-01-01,,
2017-02-01,16590,5239
2017-03-01,17773,6116
2017-04-01,1181,1748
2017-05-01,708,1653
2017-06-01,1,1
2017-07-01,,
2017-08-01,96,17
2017-09-01,130,23
2017-10-01,12,12
2017-11-01,1026,1290
2017-12-01,799,150
2018-01-01,181,3
2018-02-01,20,13
2018-03-01,342,69
2018-04-01,106,167
2018-05-01,432,1439
2018-06-01,,
2018-07-01,13129,391
2018-08-01,,
2018-09-01,4,2
2018-10-01,246,38
2018-11-01,891,876
2018-12-01,195,144
2019-01-01,,
2019-02-01,25,25
2019-03-01,,
2019-04-01,,
2019-05-01,,
2019-06-01,,
2019-07-01,,
2019-08-01,,
2019-09-01,,
2019-10-01,,
2019-11-01,,
2019-12-01,37,3
2020-01-01,,
2020-02-01,,
2020-03-01,,
2020-04-01,,
2020-05-01,,
2020-06-01,,
2020-07-01,,
2020-08-01,,
2020-09-01,,
2020-10-01,,
2020-11-01,,
2020-12-01,,
2021-01-01,,
2021-02-01,,
2021-03-01,,
2021-04-01,,
2021-05-01,,
2021-06-01,,
2021-07-01,,
2021-08-01,,
2021-09-01,,
2021-10-01,,
2021-11-01,,
2021-12-01,,
2022-01-01,,
2022-02-01,,
2022-03-01,,
2022-04-01,,
2022-05-01,,
2022-06-01,,
2022-07-01,,
2022-08-01,,
2022-09-01,,
2022-10-01,,
2022-11-01,,
2022-12-01,,
2023-01-01,,
2023-02-01,,
2023-03-01,,
2023-04-01,,
2023-05-01,,
2023-06-01,,
2023-07-01,,
2023-08-01,,
2023-09-01,,
2023-10-01,,
2023-11-01,,
2023-12-01,,
2024-01-01,,
2024-02-01,,
2024-03-01,,
2024-04-01,,
2024-05-01,,
