date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,,
2015-05-01,,
2015-06-01,,
2015-07-01,,
2015-08-01,,
2015-09-01,,
2015-10-01,,
2015-11-01,,
2015-12-01,,
2016-01-01,,
2016-02-01,,
2016-03-01,,
2016-04-01,,
2016-05-01,,
2016-06-01,,
2016-07-01,,
2016-08-01,,
2016-09-01,,
2016-10-01,,
2016-11-01,,
2016-12-01,,
2017-01-01,,
2017-02-01,,
2017-03-01,,
2017-04-01,,
2017-05-01,,
2017-06-01,,
2017-07-01,,
2017-08-01,,
2017-09-01,,
2017-10-01,,
2017-11-01,,
2017-12-01,,
2018-01-01,,
2018-02-01,,
2018-03-01,,
2018-04-01,,
2018-05-01,,
2018-06-01,,
2018-07-01,,
2018-08-01,,
2018-09-01,,
2018-10-01,,
2018-11-01,,
2018-12-01,,
2019-01-01,568,287
2019-02-01,,
2019-03-01,,
2019-04-01,,
2019-05-01,,
2019-06-01,,
2019-07-01,,
2019-08-01,,
2019-09-01,,
2019-10-01,,
2019-11-01,,
2019-12-01,,
2020-01-01,,
2020-02-01,,
2020-03-01,,
2020-04-01,,
2020-05-01,,
2020-06-01,2131,1282
2020-07-01,508,124
2020-08-01,1087,357
2020-09-01,507,124
2020-10-01,1044,687
2020-11-01,5946,1500
2020-12-01,4354,3358
2021-01-01,3990,2751
2021-02-01,2997,957
2021-03-01,4381,1555
2021-04-01,3139,1693
2021-05-01,3122,1536
2021-06-01,8262,6392
2021-07-01,4255,1633
2021-08-01,1116,393
2021-09-01,2770,1302
2021-10-01,20448,13878
2021-11-01,54225,17645
2021-12-01,12054,11237
2022-01-01,727,241
2022-02-01,2620,993
2022-03-01,3488,2632
2022-04-01,1633,581
2022-05-01,2126,1189
2022-06-01,2209,842
2022-07-01,758,312
2022-08-01,4935,2615
2022-09-01,6075,2352
2022-10-01,10057,2795
2022-11-01,105273,103137
2022-12-01,4345,1811
2023-01-01,1327,475
2023-02-01,25582,1454
2023-03-01,48059,4046
2023-04-01,216181,90812
2023-05-01,26030,9272
2023-06-01,90629,29610
2023-07-01,16267,3837
2023-08-01,40485,17992
2023-09-01,4027,8651
2023-10-01,13647,11964
2023-11-01,39353,99320
2023-12-01,239533,28985
2024-01-01,114814,14049
2024-02-01,4048,3957
2024-03-01,19670,15869
2024-04-01,2253,872
2024-05-01,2042,1248
