date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,5241,1933
2014-08-01,16,18
2014-09-01,12453,954
2014-10-01,2989,2554
2014-11-01,,
2014-12-01,1209,4920
2015-01-01,1631,611
2015-02-01,2856,1457
2015-03-01,1025,387
2015-04-01,,
2015-05-01,483,457
2015-06-01,32,17
2015-07-01,5637,296
2015-08-01,362,1906
2015-09-01,847,778
2015-10-01,4182,851
2015-11-01,3671,1354
2015-12-01,1253,2626
2016-01-01,2131,1376
2016-02-01,390,57
2016-03-01,8407,684
2016-04-01,751,135
2016-05-01,86,50
2016-06-01,130,54
2016-07-01,1213,1169
2016-08-01,,
2016-09-01,,
2016-10-01,,
2016-11-01,10719,17138
2016-12-01,686,2897
2017-01-01,177,42
2017-02-01,1662,455
2017-03-01,1335,199
2017-04-01,183,126
2017-05-01,1720,472
2017-06-01,2067,321
2017-07-01,7,3
2017-08-01,2,1
2017-09-01,,
2017-10-01,104,110
2017-11-01,1714,533
2017-12-01,1504,1159
2018-01-01,113,24
2018-02-01,137,27
2018-03-01,197,13
2018-04-01,,
2018-05-01,185,144
2018-06-01,37,32
2018-07-01,3847,1836
2018-08-01,2001,1522
2018-09-01,1046,877
2018-10-01,557,298
2018-11-01,32,16
2018-12-01,264,150
2019-01-01,233,82
2019-02-01,379,156
2019-03-01,702,303
2019-04-01,1528,1766
2019-05-01,646,612
2019-06-01,663,463
2019-07-01,79,43
2019-08-01,730,804
2019-09-01,453,103
2019-10-01,2152,11733
2019-11-01,4666,2865
2019-12-01,1058,650
2020-01-01,6705,3696
2020-02-01,8749,4479
2020-03-01,22844,6390
2020-04-01,10503,3800
2020-05-01,8886,19360
2020-06-01,67256,6362
2020-07-01,12677,25881
2020-08-01,14344,7236
2020-09-01,5203,2730
2020-10-01,5489,2152
2020-11-01,5578,2207
2020-12-01,2140,564
2021-01-01,2101,671
2021-02-01,1565,362
2021-03-01,1621,240
2021-04-01,8532,378
2021-05-01,601,252
2021-06-01,1810,357
2021-07-01,2189,415
2021-08-01,2672,1214
2021-09-01,1940,409
2021-10-01,790,863
2021-11-01,16862,13991
2021-12-01,2065,827
2022-01-01,1590,284
2022-02-01,2313,932
2022-03-01,940,476
2022-04-01,81938,908
2022-05-01,21825,13577
2022-06-01,2288,334
2022-07-01,3531,1357
2022-08-01,2998,561
2022-09-01,1267,402
2022-10-01,1624,218
2022-11-01,364,37
2022-12-01,7736,18574
2023-01-01,22668,16601
2023-02-01,2977,15155
2023-03-01,2763,1819
2023-04-01,550,299
2023-05-01,1209,676
2023-06-01,486,128
2023-07-01,8264,4762
2023-08-01,10383,2582
2023-09-01,3469,2875
2023-10-01,18997,809
2023-11-01,6089,2336
2023-12-01,2285,282
2024-01-01,10074,7111
2024-02-01,1683,545
2024-03-01,2671,521
2024-04-01,2577,704
2024-05-01,21637,381
