date,add_lines,del_lines
2014-01-01,2949,1221
2014-02-01,1942,98
2014-03-01,174,60
2014-04-01,1191,49
2014-05-01,1097,96
2014-06-01,93,1094
2014-07-01,2386,929
2014-08-01,13374,2753
2014-09-01,2389,1775
2014-10-01,153,129
2014-11-01,,
2014-12-01,,
2015-01-01,3357,2847
2015-02-01,811,341
2015-03-01,2356,2477
2015-04-01,1247,161
2015-05-01,1526,132
2015-06-01,4718,2137
2015-07-01,8121,7408
2015-08-01,4673,1182
2015-09-01,3280,1408
2015-10-01,4550,2512
2015-11-01,2983,1520
2015-12-01,2010,1409
2016-01-01,1397,912
2016-02-01,1451,724
2016-03-01,58,49
2016-04-01,2433,1290
2016-05-01,6784,3237
2016-06-01,3621,2010
2016-07-01,1586,879
2016-08-01,1037,459
2016-09-01,1469,652
2016-10-01,463,204
2016-11-01,891,756
2016-12-01,,
2017-01-01,216,172
2017-02-01,632,336
2017-03-01,518,542
2017-04-01,201,0
2017-05-01,256,49
2017-06-01,,
2017-07-01,,
2017-08-01,3,0
2017-09-01,,
2017-10-01,1588,820
2017-11-01,92,10
2017-12-01,128,53
2018-01-01,,
2018-02-01,,
2018-03-01,1974,1486
2018-04-01,946,488
2018-05-01,2178,1062
2018-06-01,848,496
2018-07-01,1916,886
2018-08-01,192,268
2018-09-01,274,190
2018-10-01,5870,3422
2018-11-01,180,136
2018-12-01,2290,778
2019-01-01,16432,3230
2019-02-01,1084,916
2019-03-01,128,24
2019-04-01,4638,820
2019-05-01,,
2019-06-01,3522,2756
2019-07-01,200,232
2019-08-01,1678,1496
2019-09-01,4,4
2019-10-01,2,2
2019-11-01,8950,1118
2019-12-01,,
2020-01-01,,
2020-02-01,,
2020-03-01,1050,510
2020-04-01,,
2020-05-01,38,3606
2020-06-01,,
2020-07-01,,
2020-08-01,246,138
2020-09-01,,
2020-10-01,,
2020-11-01,,
2020-12-01,,
2021-01-01,50,72
2021-02-01,3,1
2021-03-01,14,8
2021-04-01,,
2021-05-01,,
2021-06-01,24,9
2021-07-01,,
2021-08-01,54,10
2021-09-01,2816,16584
2021-10-01,26,14
2021-11-01,10019,1708
2021-12-01,455,363
2022-01-01,50,55
2022-02-01,,
2022-03-01,2270,1414
2022-04-01,,
2022-05-01,251,164
2022-06-01,323,398
2022-07-01,37,70
2022-08-01,34,9
2022-09-01,601,1064
2022-10-01,4,4
2022-11-01,,
2022-12-01,,
2023-01-01,,
2023-02-01,,
2023-03-01,,
2023-04-01,,
2023-05-01,,
2023-06-01,,
2023-07-01,,
2023-08-01,,
2023-09-01,,
2023-10-01,,
2023-11-01,,
2023-12-01,,
2024-01-01,,
2024-02-01,,
2024-03-01,,
2024-04-01,,
2024-05-01,,
