date,add_lines,del_lines
2014-01-01,,
2014-02-01,9,5
2014-03-01,,
2014-04-01,,
2014-05-01,7,7
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,20,27
2015-02-01,,
2015-03-01,,
2015-04-01,,
2015-05-01,641,8
2015-06-01,717,0
2015-07-01,,
2015-08-01,,
2015-09-01,13,13
2015-10-01,2228,441
2015-11-01,417,6
2015-12-01,103,218
2016-01-01,,
2016-02-01,216,217
2016-03-01,,
2016-04-01,2,2
2016-05-01,196,81
2016-06-01,10,0
2016-07-01,35,6
2016-08-01,2,2
2016-09-01,,
2016-10-01,,
2016-11-01,7,8
2016-12-01,,
2017-01-01,,
2017-02-01,,
2017-03-01,,
2017-04-01,1632,439
2017-05-01,4230,36
2017-06-01,391,0
2017-07-01,3878,1037
2017-08-01,,
2017-09-01,8,8
2017-10-01,3,1
2017-11-01,399,115
2017-12-01,8,6
2018-01-01,,
2018-02-01,18,26
2018-03-01,1,1
2018-04-01,,
2018-05-01,,
2018-06-01,,
2018-07-01,,
2018-08-01,,
2018-09-01,1659,143
2018-10-01,20,25
2018-11-01,18,25
2018-12-01,,
2019-01-01,1,1
2019-02-01,,
2019-03-01,,
2019-04-01,,
2019-05-01,,
2019-06-01,,
2019-07-01,46,7
2019-08-01,,
2019-09-01,717,147
2019-10-01,2,2
2019-11-01,,
2019-12-01,,
2020-01-01,,
2020-02-01,,
2020-03-01,,
2020-04-01,,
2020-05-01,,
2020-06-01,,
2020-07-01,1654,267
2020-08-01,97,51
2020-09-01,75,95
2020-10-01,,
2020-11-01,,
2020-12-01,,
2021-01-01,,
2021-02-01,148,45
2021-03-01,,
2021-04-01,23,107
2021-05-01,,
2021-06-01,,
2021-07-01,,
2021-08-01,36,17577
2021-09-01,,
2021-10-01,1,0
2021-11-01,,
2021-12-01,,
2022-01-01,,
2022-02-01,,
2022-03-01,,
2022-04-01,,
2022-05-01,,
2022-06-01,,
2022-07-01,,
2022-08-01,,
2022-09-01,,
2022-10-01,,
2022-11-01,,
2022-12-01,,
2023-01-01,,
2023-02-01,,
2023-03-01,,
2023-04-01,,
2023-05-01,,
2023-06-01,,
2023-07-01,,
2023-08-01,,
2023-09-01,,
2023-10-01,,
2023-11-01,,
2023-12-01,,
2024-01-01,5,1
2024-02-01,,
2024-03-01,,
2024-04-01,,
2024-05-01,,
