date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,,
2015-05-01,,
2015-06-01,,
2015-07-01,,
2015-08-01,,
2015-09-01,,
2015-10-01,,
2015-11-01,,
2015-12-01,,
2016-01-01,,
2016-02-01,,
2016-03-01,,
2016-04-01,,
2016-05-01,,
2016-06-01,,
2016-07-01,,
2016-08-01,,
2016-09-01,,
2016-10-01,,
2016-11-01,,
2016-12-01,,
2017-01-01,,
2017-02-01,,
2017-03-01,,
2017-04-01,,
2017-05-01,,
2017-06-01,,
2017-07-01,,
2017-08-01,,
2017-09-01,,
2017-10-01,,
2017-11-01,,
2017-12-01,,
2018-01-01,,
2018-02-01,,
2018-03-01,,
2018-04-01,,
2018-05-01,,
2018-06-01,,
2018-07-01,,
2018-08-01,,
2018-09-01,,
2018-10-01,,
2018-11-01,,
2018-12-01,,
2019-01-01,,
2019-02-01,,
2019-03-01,,
2019-04-01,,
2019-05-01,,
2019-06-01,,
2019-07-01,,
2019-08-01,,
2019-09-01,,
2019-10-01,,
2019-11-01,,
2019-12-01,235,0
2020-01-01,74,28
2020-02-01,,
2020-03-01,,
2020-04-01,,
2020-05-01,154,12
2020-06-01,25,21
2020-07-01,25,16
2020-08-01,44,21
2020-09-01,165,6
2020-10-01,1,7
2020-11-01,41,6
2020-12-01,10,0
2021-01-01,10,7
2021-02-01,57,64
2021-03-01,78,48
2021-04-01,91,145
2021-05-01,55,55
2021-06-01,14,15
2021-07-01,226,31
2021-08-01,8,8
2021-09-01,47,19
2021-10-01,23,9
2021-11-01,22,12
2021-12-01,25,12
2022-01-01,13,3
2022-02-01,1,1
2022-03-01,11,9
2022-04-01,2,9
2022-05-01,43,41
2022-06-01,30,7
2022-07-01,62,34
2022-08-01,36,6
2022-09-01,2,2
2022-10-01,14,6
2022-11-01,4,4
2022-12-01,28,12
2023-01-01,23,19
2023-02-01,39,17
2023-03-01,56,60
2023-04-01,31,32
2023-05-01,351,204
2023-06-01,12,12
2023-07-01,4,4
2023-08-01,85,76
2023-09-01,13,13
2023-10-01,11,11
2023-11-01,26,35
2023-12-01,11,11
2024-01-01,36,22
2024-02-01,9,12
2024-03-01,40,27
2024-04-01,45,33
2024-05-01,7,7
