date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,,
2015-05-01,,
2015-06-01,,
2015-07-01,,
2015-08-01,,
2015-09-01,,
2015-10-01,,
2015-11-01,,
2015-12-01,,
2016-01-01,,
2016-02-01,,
2016-03-01,,
2016-04-01,,
2016-05-01,,
2016-06-01,,
2016-07-01,3286,369
2016-08-01,3,2
2016-09-01,,
2016-10-01,2,2
2016-11-01,,
2016-12-01,448,661
2017-01-01,12,6
2017-02-01,12480,991
2017-03-01,,
2017-04-01,,
2017-05-01,,
2017-06-01,,
2017-07-01,,
2017-08-01,,
2017-09-01,,
2017-10-01,,
2017-11-01,,
2017-12-01,,
2018-01-01,,
2018-02-01,12,20
2018-03-01,6,6
2018-04-01,,
2018-05-01,,
2018-06-01,,
2018-07-01,,
2018-08-01,,
2018-09-01,,
2018-10-01,,
2018-11-01,,
2018-12-01,,
2019-01-01,,
2019-02-01,,
2019-03-01,,
2019-04-01,,
2019-05-01,,
2019-06-01,,
2019-07-01,118,41
2019-08-01,,
2019-09-01,263,75
2019-10-01,88,86
2019-11-01,2778,1739
2019-12-01,2586,12942
2020-01-01,4695,1047
2020-02-01,743,275
2020-03-01,175,132
2020-04-01,1367,890
2020-05-01,1355,138
2020-06-01,621,536
2020-07-01,1983,327
2020-08-01,1492,470
2020-09-01,305,65
2020-10-01,1071,841
2020-11-01,231,106
2020-12-01,22,2
2021-01-01,14,9
2021-02-01,14417,7826
2021-03-01,2134,999
2021-04-01,1133,468
2021-05-01,1749,741
2021-06-01,86,44
2021-07-01,6172,4564
2021-08-01,865,313
2021-09-01,397,94
2021-10-01,1181,995
2021-11-01,677,263
2021-12-01,706,252
2022-01-01,287,103
2022-02-01,182,138
2022-03-01,75,5
2022-04-01,549,99
2022-05-01,433,146
2022-06-01,2680,402
2022-07-01,1039,696
2022-08-01,305,45
2022-09-01,49,16
2022-10-01,193,57
2022-11-01,212,29
2022-12-01,1669,899
2023-01-01,231294,73938
2023-02-01,1634,362
2023-03-01,1696,471
2023-04-01,415,64
2023-05-01,5732,276
2023-06-01,1191,262
2023-07-01,1847,1454
2023-08-01,988,366
2023-09-01,183,96
2023-10-01,11,3
2023-11-01,86,56
2023-12-01,87,28
2024-01-01,3565,2542
2024-02-01,971,383
2024-03-01,5361,3386
2024-04-01,2690,962
2024-05-01,81,2
