date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,1540,1
2014-04-01,2069,818
2014-05-01,743,161
2014-06-01,755,587
2014-07-01,1,1
2014-08-01,7,7
2014-09-01,1,9
2014-10-01,4,2
2014-11-01,,
2014-12-01,2,2
2015-01-01,23,23
2015-02-01,,
2015-03-01,11,9
2015-04-01,43,31
2015-05-01,5,5
2015-06-01,65,44
2015-07-01,2,2
2015-08-01,,
2015-09-01,285,281
2015-10-01,1145,1486
2015-11-01,246,140
2015-12-01,98,96
2016-01-01,147,146
2016-02-01,99,77
2016-03-01,23,8
2016-04-01,24,2
2016-05-01,2,2
2016-06-01,1,1
2016-07-01,,
2016-08-01,,
2016-09-01,,
2016-10-01,450,75
2016-11-01,1,1
2016-12-01,1,2
2017-01-01,,
2017-02-01,,
2017-03-01,143,128
2017-04-01,,
2017-05-01,16,471
2017-06-01,62,7
2017-07-01,188,652
2017-08-01,34,30
2017-09-01,,
2017-10-01,15,3
2017-11-01,,
2017-12-01,2,2
2018-01-01,9,10
2018-02-01,,
2018-03-01,22,15
2018-04-01,,
2018-05-01,,
2018-06-01,,
2018-07-01,,
2018-08-01,,
2018-09-01,4,2
2018-10-01,,
2018-11-01,1,1
2018-12-01,,
2019-01-01,,
2019-02-01,454,367
2019-03-01,4,0
2019-04-01,,
2019-05-01,,
2019-06-01,,
2019-07-01,21,2
2019-08-01,,
2019-09-01,,
2019-10-01,,
2019-11-01,,
2019-12-01,,
2020-01-01,,
2020-02-01,,
2020-03-01,,
2020-04-01,,
2020-05-01,,
2020-06-01,,
2020-07-01,,
2020-08-01,,
2020-09-01,,
2020-10-01,,
2020-11-01,,
2020-12-01,,
2021-01-01,,
2021-02-01,,
2021-03-01,,
2021-04-01,,
2021-05-01,,
2021-06-01,,
2021-07-01,,
2021-08-01,,
2021-09-01,,
2021-10-01,,
2021-11-01,,
2021-12-01,,
2022-01-01,,
2022-02-01,,
2022-03-01,,
2022-04-01,,
2022-05-01,,
2022-06-01,,
2022-07-01,,
2022-08-01,,
2022-09-01,,
2022-10-01,,
2022-11-01,,
2022-12-01,,
2023-01-01,,
2023-02-01,,
2023-03-01,,
2023-04-01,,
2023-05-01,,
2023-06-01,,
2023-07-01,,
2023-08-01,,
2023-09-01,,
2023-10-01,,
2023-11-01,,
2023-12-01,,
2024-01-01,,
2024-02-01,,
2024-03-01,,
2024-04-01,,
2024-05-01,,
