date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,,
2015-05-01,,
2015-06-01,,
2015-07-01,,
2015-08-01,,
2015-09-01,,
2015-10-01,,
2015-11-01,,
2015-12-01,,
2016-01-01,,
2016-02-01,,
2016-03-01,,
2016-04-01,,
2016-05-01,,
2016-06-01,,
2016-07-01,,
2016-08-01,,
2016-09-01,,
2016-10-01,,
2016-11-01,,
2016-12-01,,
2017-01-01,,
2017-02-01,,
2017-03-01,,
2017-04-01,,
2017-05-01,,
2017-06-01,,
2017-07-01,,
2017-08-01,,
2017-09-01,,
2017-10-01,,
2017-11-01,,
2017-12-01,,
2018-01-01,,
2018-02-01,,
2018-03-01,,
2018-04-01,,
2018-05-01,,
2018-06-01,,
2018-07-01,,
2018-08-01,,
2018-09-01,,
2018-10-01,,
2018-11-01,,
2018-12-01,,
2019-01-01,,
2019-02-01,,
2019-03-01,,
2019-04-01,,
2019-05-01,,
2019-06-01,,
2019-07-01,,
2019-08-01,,
2019-09-01,,
2019-10-01,,
2019-11-01,,
2019-12-01,,
2020-01-01,,
2020-02-01,,
2020-03-01,4524,914
2020-04-01,1146,1145
2020-05-01,128,27
2020-06-01,3776,1747
2020-07-01,83,9
2020-08-01,1212,1130
2020-09-01,3038,384
2020-10-01,,
2020-11-01,3,0
2020-12-01,120,4
2021-01-01,476,387
2021-02-01,,
2021-03-01,,
2021-04-01,,
2021-05-01,2216,91
2021-06-01,950,643
2021-07-01,1041,246
2021-08-01,291,136
2021-09-01,3581,2
2021-10-01,158,58
2021-11-01,,
2021-12-01,4,4
2022-01-01,69,5400
2022-02-01,5819,3867
2022-03-01,14283,3742
2022-04-01,2764,2523
2022-05-01,4060,3712
2022-06-01,16692,6244
2022-07-01,4581,1862
2022-08-01,61,42
2022-09-01,2,0
2022-10-01,18,17
2022-11-01,,
2022-12-01,113,78
2023-01-01,12,12
2023-02-01,14,13
2023-03-01,,
2023-04-01,,
2023-05-01,,
2023-06-01,,
2023-07-01,34,29
2023-08-01,,
2023-09-01,,
2023-10-01,,
2023-11-01,,
2023-12-01,,
2024-01-01,,
2024-02-01,,
2024-03-01,,
2024-04-01,,
2024-05-01,,
