date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,,
2015-05-01,,
2015-06-01,,
2015-07-01,2185,59
2015-08-01,629,278
2015-09-01,357,65
2015-10-01,582,218
2015-11-01,3182,208
2015-12-01,,
2016-01-01,,
2016-02-01,,
2016-03-01,1196,544
2016-04-01,1118,733
2016-05-01,,
2016-06-01,2365,2818
2016-07-01,,
2016-08-01,19537,173728
2016-09-01,648,535
2016-10-01,,
2016-11-01,,
2016-12-01,,
2017-01-01,,
2017-02-01,,
2017-03-01,,
2017-04-01,,
2017-05-01,,
2017-06-01,,
2017-07-01,,
2017-08-01,,
2017-09-01,,
2017-10-01,2,2
2017-11-01,,
2017-12-01,1,1
2018-01-01,,
2018-02-01,1,1
2018-03-01,3935,8053
2018-04-01,1130,163
2018-05-01,350,82
2018-06-01,156,45
2018-07-01,1699,672
2018-08-01,4382,2512
2018-09-01,308,345
2018-10-01,641,247
2018-11-01,461,141
2018-12-01,474,270
2019-01-01,3353,0
2019-02-01,1820521,19017
2019-03-01,527062,277748
2019-04-01,5703,5104
2019-05-01,330,143
2019-06-01,18486,406
2019-07-01,42939,561
2019-08-01,6967,123690
2019-09-01,1654,448
2019-10-01,1084,468
2019-11-01,10,7
2019-12-01,170,59
2020-01-01,931,507
2020-02-01,694,391
2020-03-01,6895,3979
2020-04-01,2340758,1648884
2020-05-01,43413,1409
2020-06-01,1480403,1394297
2020-07-01,2786,1102
2020-08-01,169,26
2020-09-01,560,41
2020-10-01,282,136
2020-11-01,1,1
2020-12-01,16,0
2021-01-01,499631,628321
2021-02-01,35,7
2021-03-01,27407,8504
2021-04-01,15,6
2021-05-01,197,59
2021-06-01,,
2021-07-01,360,257
2021-08-01,484,217
2021-09-01,222,82
2021-10-01,44,2
2021-11-01,1,1
2021-12-01,7,8
2022-01-01,93,10
2022-02-01,,
2022-03-01,,
2022-04-01,2,2
2022-05-01,,
2022-06-01,374015,14786
2022-07-01,23559,142
2022-08-01,25165,43472
2022-09-01,16921,30980
2022-10-01,29,1
2022-11-01,275,294
2022-12-01,2,2
2023-01-01,23,11
2023-02-01,10,5
2023-03-01,,
2023-04-01,,
2023-05-01,8,0
2023-06-01,,
2023-07-01,254779,21934
2023-08-01,,
2023-09-01,,
2023-10-01,,
2023-11-01,,
2023-12-01,,
2024-01-01,,
2024-02-01,1,0
2024-03-01,,
2024-04-01,1,1
2024-05-01,2,2
