date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,,
2015-05-01,,
2015-06-01,,
2015-07-01,,
2015-08-01,,
2015-09-01,,
2015-10-01,,
2015-11-01,,
2015-12-01,,
2016-01-01,,
2016-02-01,,
2016-03-01,,
2016-04-01,,
2016-05-01,,
2016-06-01,,
2016-07-01,,
2016-08-01,,
2016-09-01,,
2016-10-01,,
2016-11-01,,
2016-12-01,,
2017-01-01,,
2017-02-01,,
2017-03-01,,
2017-04-01,,
2017-05-01,,
2017-06-01,,
2017-07-01,,
2017-08-01,,
2017-09-01,,
2017-10-01,,
2017-11-01,,
2017-12-01,,
2018-01-01,,
2018-02-01,,
2018-03-01,,
2018-04-01,,
2018-05-01,,
2018-06-01,,
2018-07-01,,
2018-08-01,,
2018-09-01,,
2018-10-01,,
2018-11-01,,
2018-12-01,,
2019-01-01,,
2019-02-01,,
2019-03-01,,
2019-04-01,,
2019-05-01,,
2019-06-01,,
2019-07-01,,
2019-08-01,,
2019-09-01,,
2019-10-01,,
2019-11-01,,
2019-12-01,,
2020-01-01,,
2020-02-01,,
2020-03-01,1002,97
2020-04-01,4393,1490
2020-05-01,55019,3169
2020-06-01,3087,940
2020-07-01,10199,3080
2020-08-01,4128,969
2020-09-01,13616,55722
2020-10-01,5194,2107
2020-11-01,5627,2246
2020-12-01,637,864
2021-01-01,1193,491
2021-02-01,,
2021-03-01,164995,16379
2021-04-01,9093,3746
2021-05-01,1639,1125
2021-06-01,10791,1945
2021-07-01,1230,96
2021-08-01,6062,1673
2021-09-01,4008,4498
2021-10-01,1899,784
2021-11-01,1154,787
2021-12-01,2604,682
2022-01-01,3154,1215
2022-02-01,4469,2388
2022-03-01,461,162
2022-04-01,1740,1338
2022-05-01,3033,1108
2022-06-01,59,28
2022-07-01,159,66
2022-08-01,4778,4592
2022-09-01,3712,5861
2022-10-01,3875,3253
2022-11-01,1652,762
2022-12-01,1244,1468
2023-01-01,2268,2503
2023-02-01,122,118
2023-03-01,96,23
2023-04-01,394,287
2023-05-01,244,107
2023-06-01,,
2023-07-01,,
2023-08-01,,
2023-09-01,,
2023-10-01,506,152
2023-11-01,,
2023-12-01,,
2024-01-01,,
2024-02-01,,
2024-03-01,,
2024-04-01,,
2024-05-01,,
