date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,,
2015-05-01,,
2015-06-01,,
2015-07-01,,
2015-08-01,,
2015-09-01,,
2015-10-01,,
2015-11-01,,
2015-12-01,,
2016-01-01,,
2016-02-01,,
2016-03-01,,
2016-04-01,,
2016-05-01,,
2016-06-01,,
2016-07-01,,
2016-08-01,,
2016-09-01,,
2016-10-01,,
2016-11-01,,
2016-12-01,,
2017-01-01,,
2017-02-01,,
2017-03-01,,
2017-04-01,,
2017-05-01,,
2017-06-01,1276,391
2017-07-01,582,190
2017-08-01,2294,497
2017-09-01,346,48
2017-10-01,391,81
2017-11-01,26,18
2017-12-01,,
2018-01-01,,
2018-02-01,16,17
2018-03-01,,
2018-04-01,1951,1186
2018-05-01,,
2018-06-01,246,96
2018-07-01,571,153
2018-08-01,1131,448
2018-09-01,183,135
2018-10-01,2359,727
2018-11-01,197,218
2018-12-01,327,317
2019-01-01,28,18
2019-02-01,59,93
2019-03-01,,
2019-04-01,866,536
2019-05-01,652,37
2019-06-01,130,65
2019-07-01,45,18
2019-08-01,216,59
2019-09-01,621,268
2019-10-01,116,8
2019-11-01,1000,620
2019-12-01,114,83
2020-01-01,,
2020-02-01,11,13
2020-03-01,169,56
2020-04-01,121,53
2020-05-01,75,140
2020-06-01,,
2020-07-01,1,1
2020-08-01,16,6
2020-09-01,,
2020-10-01,935,115
2020-11-01,940,166
2020-12-01,649,198
2021-01-01,,
2021-02-01,33,25
2021-03-01,24,8
2021-04-01,11,6
2021-05-01,1,1
2021-06-01,,
2021-07-01,19,8
2021-08-01,28,75
2021-09-01,8,8
2021-10-01,35,736
2021-11-01,84,9
2021-12-01,,
2022-01-01,1,1
2022-02-01,952,643
2022-03-01,8,9
2022-04-01,121,52
2022-05-01,34,18
2022-06-01,114,81
2022-07-01,43,39
2022-08-01,10,47
2022-09-01,9,18
2022-10-01,679,276
2022-11-01,6,6
2022-12-01,159,294
2023-01-01,27,12
2023-02-01,42,20
2023-03-01,24,88
2023-04-01,111,81
2023-05-01,91,142
2023-06-01,237,136
2023-07-01,78,37
2023-08-01,90,49
2023-09-01,513,19
2023-10-01,876,537
2023-11-01,1280,731
2023-12-01,258,848
2024-01-01,502,167
2024-02-01,210,27
2024-03-01,311,105
2024-04-01,22,15
2024-05-01,,
