date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,,
2015-05-01,,
2015-06-01,,
2015-07-01,,
2015-08-01,,
2015-09-01,,
2015-10-01,,
2015-11-01,,
2015-12-01,,
2016-01-01,,
2016-02-01,,
2016-03-01,,
2016-04-01,,
2016-05-01,,
2016-06-01,,
2016-07-01,,
2016-08-01,,
2016-09-01,,
2016-10-01,,
2016-11-01,,
2016-12-01,,
2017-01-01,,
2017-02-01,,
2017-03-01,,
2017-04-01,,
2017-05-01,,
2017-06-01,,
2017-07-01,,
2017-08-01,,
2017-09-01,,
2017-10-01,,
2017-11-01,,
2017-12-01,,
2018-01-01,,
2018-02-01,,
2018-03-01,,
2018-04-01,,
2018-05-01,,
2018-06-01,,
2018-07-01,,
2018-08-01,,
2018-09-01,,
2018-10-01,,
2018-11-01,,
2018-12-01,,
2019-01-01,,
2019-02-01,,
2019-03-01,,
2019-04-01,,
2019-05-01,,
2019-06-01,,
2019-07-01,,
2019-08-01,,
2019-09-01,,
2019-10-01,1553,8
2019-11-01,1925,220
2019-12-01,,
2020-01-01,,
2020-02-01,,
2020-03-01,,
2020-04-01,6080,1001
2020-05-01,300,273
2020-06-01,503,135
2020-07-01,3414,1766
2020-08-01,1465,468
2020-09-01,476,118
2020-10-01,,
2020-11-01,65,11
2020-12-01,7,7
2021-01-01,383,459
2021-02-01,438,122
2021-03-01,1746,181
2021-04-01,1317,1051
2021-05-01,17,5
2021-06-01,98,74
2021-07-01,1107,687
2021-08-01,,
2021-09-01,113,86
2021-10-01,20,5
2021-11-01,149,122
2021-12-01,73,83
2022-01-01,671,51
2022-02-01,,
2022-03-01,,
2022-04-01,1238,79
2022-05-01,195,168
2022-06-01,1462,1432
2022-07-01,,
2022-08-01,,
2022-09-01,23,0
2022-10-01,104,91
2022-11-01,,
2022-12-01,,
2023-01-01,,
2023-02-01,,
2023-03-01,20,8
2023-04-01,328,254
2023-05-01,260,27
2023-06-01,7,1
2023-07-01,25,25
2023-08-01,,
2023-09-01,451,44
2023-10-01,116,127
2023-11-01,31,429
2023-12-01,3417,2766
2024-01-01,33,2
2024-02-01,8141,1364
2024-03-01,412,134
2024-04-01,176,76
2024-05-01,4629,366
