date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,,
2015-05-01,,
2015-06-01,,
2015-07-01,,
2015-08-01,,
2015-09-01,,
2015-10-01,,
2015-11-01,,
2015-12-01,,
2016-01-01,,
2016-02-01,,
2016-03-01,,
2016-04-01,,
2016-05-01,,
2016-06-01,,
2016-07-01,,
2016-08-01,,
2016-09-01,,
2016-10-01,,
2016-11-01,,
2016-12-01,,
2017-01-01,,
2017-02-01,,
2017-03-01,,
2017-04-01,,
2017-05-01,,
2017-06-01,,
2017-07-01,,
2017-08-01,,
2017-09-01,,
2017-10-01,4737,569
2017-11-01,874,191
2017-12-01,110,2
2018-01-01,,
2018-02-01,57,2
2018-03-01,6964,1710
2018-04-01,601,179
2018-05-01,,
2018-06-01,18922,1412
2018-07-01,2219,1017
2018-08-01,516,201
2018-09-01,,
2018-10-01,1344,534
2018-11-01,3338,627
2018-12-01,1198,810
2019-01-01,1748,102
2019-02-01,3532,292
2019-03-01,15404,9227
2019-04-01,9100,1795
2019-05-01,,
2019-06-01,,
2019-07-01,,
2019-08-01,,
2019-09-01,,
2019-10-01,,
2019-11-01,11347,3957
2019-12-01,,
2020-01-01,321,179
2020-02-01,1392,801
2020-03-01,631,95
2020-04-01,194,44
2020-05-01,3,2
2020-06-01,,
2020-07-01,,
2020-08-01,,
2020-09-01,,
2020-10-01,,
2020-11-01,,
2020-12-01,,
2021-01-01,,
2021-02-01,,
2021-03-01,,
2021-04-01,,
2021-05-01,,
2021-06-01,,
2021-07-01,,
2021-08-01,,
2021-09-01,,
2021-10-01,,
2021-11-01,,
2021-12-01,,
2022-01-01,,
2022-02-01,,
2022-03-01,,
2022-04-01,,
2022-05-01,1,2
2022-06-01,,
2022-07-01,,
2022-08-01,,
2022-09-01,,
2022-10-01,7211,8656
2022-11-01,8690,25
2022-12-01,609,28
2023-01-01,,
2023-02-01,,
2023-03-01,1,1
2023-04-01,,
2023-05-01,596,18
2023-06-01,16859,17913
2023-07-01,451,359
2023-08-01,2666,501
2023-09-01,1638,191
2023-10-01,121,12
2023-11-01,256,85
2023-12-01,61,26
2024-01-01,355,85
2024-02-01,1736,251
2024-03-01,374,342
2024-04-01,461,140
2024-05-01,942,298
