date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,,
2015-05-01,,
2015-06-01,,
2015-07-01,,
2015-08-01,,
2015-09-01,,
2015-10-01,,
2015-11-01,,
2015-12-01,,
2016-01-01,,
2016-02-01,,
2016-03-01,,
2016-04-01,,
2016-05-01,1330,174
2016-06-01,,
2016-07-01,1081,165
2016-08-01,10,3
2016-09-01,,
2016-10-01,,
2016-11-01,,
2016-12-01,,
2017-01-01,,
2017-02-01,988,160
2017-03-01,392,41
2017-04-01,,
2017-05-01,204,190
2017-06-01,,
2017-07-01,,
2017-08-01,,
2017-09-01,1,383
2017-10-01,,
2017-11-01,,
2017-12-01,,
2018-01-01,,
2018-02-01,,
2018-03-01,,
2018-04-01,,
2018-05-01,14,12
2018-06-01,639,442
2018-07-01,,
2018-08-01,,
2018-09-01,,
2018-10-01,,
2018-11-01,,
2018-12-01,,
2019-01-01,,
2019-02-01,8,4
2019-03-01,7060,960
2019-04-01,2072,648
2019-05-01,191,116
2019-06-01,1,1
2019-07-01,4099,1100
2019-08-01,654,487
2019-09-01,1358,1968
2019-10-01,2635,416
2019-11-01,89,43
2019-12-01,,
2020-01-01,,
2020-02-01,,
2020-03-01,12,7
2020-04-01,344,87
2020-05-01,,
2020-06-01,10,1
2020-07-01,,
2020-08-01,566,332
2020-09-01,485,1
2020-10-01,49,3
2020-11-01,577,16
2020-12-01,,
2021-01-01,,
2021-02-01,57,85
2021-03-01,168,55
2021-04-01,2,3
2021-05-01,582,70
2021-06-01,55,118
2021-07-01,136,65
2021-08-01,,
2021-09-01,,
2021-10-01,,
2021-11-01,,
2021-12-01,69,51
2022-01-01,12,4
2022-02-01,,
2022-03-01,,
2022-04-01,,
2022-05-01,2,1
2022-06-01,,
2022-07-01,1,1
2022-08-01,,
2022-09-01,,
2022-10-01,,
2022-11-01,,
2022-12-01,,
2023-01-01,,
2023-02-01,,
2023-03-01,,
2023-04-01,,
2023-05-01,,
2023-06-01,,
2023-07-01,,
2023-08-01,,
2023-09-01,,
2023-10-01,78,100
2023-11-01,,
2023-12-01,218,52
2024-01-01,541,145
2024-02-01,8,3
2024-03-01,49,2
2024-04-01,,
2024-05-01,,
