date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,,
2015-05-01,,
2015-06-01,,
2015-07-01,,
2015-08-01,,
2015-09-01,,
2015-10-01,,
2015-11-01,,
2015-12-01,,
2016-01-01,,
2016-02-01,,
2016-03-01,,
2016-04-01,,
2016-05-01,,
2016-06-01,977,22
2016-07-01,457,33
2016-08-01,,
2016-09-01,,
2016-10-01,6,6
2016-11-01,167,83
2016-12-01,453,346
2017-01-01,5519,2015
2017-02-01,16309,3735
2017-03-01,12731,1534
2017-04-01,2668,370
2017-05-01,2994,711
2017-06-01,2570,1137
2017-07-01,2545,1165
2017-08-01,8093,2466
2017-09-01,4179,1127
2017-10-01,3859,3821
2017-11-01,7159,4230
2017-12-01,9074,2100
2018-01-01,4773,2900
2018-02-01,6819,99
2018-03-01,3032,7573
2018-04-01,6562,6179
2018-05-01,4569,263
2018-06-01,3650,5838
2018-07-01,9200,2539
2018-08-01,5168,11241
2018-09-01,16913,13480
2018-10-01,8193,8793
2018-11-01,1747,485
2018-12-01,4756,1720
2019-01-01,910,652
2019-02-01,3867,967
2019-03-01,3100,1444
2019-04-01,9625,1921
2019-05-01,4466,990
2019-06-01,4972,1467
2019-07-01,4419,2810
2019-08-01,7249,2214
2019-09-01,3737,3826
2019-10-01,1665,1285
2019-11-01,466,246
2019-12-01,2929,2410
2020-01-01,224,46
2020-02-01,2974,5174
2020-03-01,4328,1009
2020-04-01,6813,1618
2020-05-01,1495,322
2020-06-01,385,128
2020-07-01,1664,493
2020-08-01,1037,487
2020-09-01,529,66
2020-10-01,9967,3514
2020-11-01,1078,1909
2020-12-01,404,257
2021-01-01,7342,7005
2021-02-01,7949,7401
2021-03-01,980,983
2021-04-01,5961,5105
2021-05-01,830,371
2021-06-01,707,206
2021-07-01,747,1316
2021-08-01,272,540
2021-09-01,776,402
2021-10-01,2043,1013
2021-11-01,6780,2782
2021-12-01,508,217
2022-01-01,390,201
2022-02-01,2035,269
2022-03-01,124,51
2022-04-01,430,103
2022-05-01,359,502
2022-06-01,1155,741
2022-07-01,1191,462
2022-08-01,4188,1755
2022-09-01,825,746
2022-10-01,1192,419
2022-11-01,214,143
2022-12-01,309,146
2023-01-01,379,126
2023-02-01,6591,4278
2023-03-01,913,356
2023-04-01,180,90
2023-05-01,2026,1840
2023-06-01,519,323
2023-07-01,212,401
2023-08-01,109,19
2023-09-01,72,21
2023-10-01,195,44
2023-11-01,399,261
2023-12-01,3184,2082
2024-01-01,2193,6129
2024-02-01,886,589
2024-03-01,194,102
2024-04-01,58,53
2024-05-01,24,11
