date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,92891,83510
2015-05-01,6927,5640
2015-06-01,1395,1441
2015-07-01,188,239
2015-08-01,14,14
2015-09-01,2413,2451
2015-10-01,7194,6851
2015-11-01,132,109
2015-12-01,474,78
2016-01-01,1177,909
2016-02-01,231,119
2016-03-01,18,18
2016-04-01,,
2016-05-01,4,6
2016-06-01,21,23
2016-07-01,213,144
2016-08-01,31,79
2016-09-01,201,51
2016-10-01,103,36
2016-11-01,19,19
2016-12-01,2,2
2017-01-01,1759,1422
2017-02-01,1403,1331
2017-03-01,75,58
2017-04-01,446,214
2017-05-01,201,0
2017-06-01,,
2017-07-01,9,12
2017-08-01,30,20
2017-09-01,36,2
2017-10-01,235,5
2017-11-01,564,244
2017-12-01,0,4
2018-01-01,504,64
2018-02-01,6114,1362
2018-03-01,2,2
2018-04-01,8,8
2018-05-01,536,122
2018-06-01,9082,26
2018-07-01,,
2018-08-01,,
2018-09-01,,
2018-10-01,14,0
2018-11-01,14,0
2018-12-01,26,26
2019-01-01,3,3
2019-02-01,28,22
2019-03-01,,
2019-04-01,,
2019-05-01,,
2019-06-01,20,19
2019-07-01,,
2019-08-01,,
2019-09-01,,
2019-10-01,,
2019-11-01,,
2019-12-01,,
2020-01-01,1819,2689
2020-02-01,2083,2256
2020-03-01,4,4
2020-04-01,,
2020-05-01,,
2020-06-01,,
2020-07-01,,
2020-08-01,3724,9027
2020-09-01,,
2020-10-01,,
2020-11-01,,
2020-12-01,,
2021-01-01,,
2021-02-01,,
2021-03-01,72,102
2021-04-01,6,0
2021-05-01,,
2021-06-01,,
2021-07-01,,
2021-08-01,,
2021-09-01,,
2021-10-01,,
2021-11-01,,
2021-12-01,,
2022-01-01,,
2022-02-01,,
2022-03-01,2084,194
2022-04-01,3,4
2022-05-01,1,0
2022-06-01,15,19
2022-07-01,12,6
2022-08-01,127,126
2022-09-01,,
2022-10-01,,
2022-11-01,,
2022-12-01,2,1
2023-01-01,,
2023-02-01,,
2023-03-01,,
2023-04-01,,
2023-05-01,90,83
2023-06-01,17,227
2023-07-01,7,2
2023-08-01,,
2023-09-01,970,930
2023-10-01,13,3
2023-11-01,,
2023-12-01,,
2024-01-01,12606,1103
2024-02-01,413,511
2024-03-01,,
2024-04-01,,
2024-05-01,4798,2062
