date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,,
2015-05-01,,
2015-06-01,,
2015-07-01,,
2015-08-01,,
2015-09-01,,
2015-10-01,,
2015-11-01,,
2015-12-01,,
2016-01-01,,
2016-02-01,,
2016-03-01,,
2016-04-01,,
2016-05-01,,
2016-06-01,,
2016-07-01,,
2016-08-01,,
2016-09-01,,
2016-10-01,,
2016-11-01,,
2016-12-01,,
2017-01-01,,
2017-02-01,,
2017-03-01,,
2017-04-01,,
2017-05-01,,
2017-06-01,,
2017-07-01,4162,8
2017-08-01,3090,779
2017-09-01,2995,500
2017-10-01,1377,585
2017-11-01,1015,420
2017-12-01,647,210
2018-01-01,33,11
2018-02-01,580,19
2018-03-01,464,314
2018-04-01,365,248
2018-05-01,555,60
2018-06-01,296,79
2018-07-01,4346,1181
2018-08-01,96,50
2018-09-01,6157,3945
2018-10-01,2145,2217
2018-11-01,4048,3315
2018-12-01,811,248
2019-01-01,220,142
2019-02-01,1886,1286
2019-03-01,3222,1924
2019-04-01,3080,1306
2019-05-01,232,166
2019-06-01,451,138
2019-07-01,1989,707
2019-08-01,437,188
2019-09-01,1017,459
2019-10-01,203,65
2019-11-01,1507,974
2019-12-01,4526,2975
2020-01-01,3184,1860
2020-02-01,7375,4008
2020-03-01,2694,2192
2020-04-01,3518,1409
2020-05-01,137,111
2020-06-01,4619,3597
2020-07-01,7434,5643
2020-08-01,10017,4169
2020-09-01,2482,1178
2020-10-01,2558,3481
2020-11-01,430,138
2020-12-01,806,276
2021-01-01,1428,236
2021-02-01,67107,438
2021-03-01,1509,912
2021-04-01,2941,636
2021-05-01,2509,593
2021-06-01,691,177
2021-07-01,1008,182
2021-08-01,1536,566
2021-09-01,2195,1003
2021-10-01,153,21
2021-11-01,1010,139
2021-12-01,994,377
2022-01-01,1313,928
2022-02-01,1179,225
2022-03-01,2,2
2022-04-01,122,39
2022-05-01,1072,90
2022-06-01,2464,1058
2022-07-01,1397,494
2022-08-01,122,38
2022-09-01,1495,174
2022-10-01,1768,497
2022-11-01,898,301
2022-12-01,409,200
2023-01-01,1113,151
2023-02-01,1381,306
2023-03-01,272,372
2023-04-01,300,45
2023-05-01,2043,327
2023-06-01,806,70
2023-07-01,902,1370
2023-08-01,802,252
2023-09-01,750,261
2023-10-01,1777,385
2023-11-01,190,45
2023-12-01,935,285
2024-01-01,189,50
2024-02-01,116,53
2024-03-01,1238,171
2024-04-01,3944,637
2024-05-01,2690,2272
