date,add_lines,del_lines
2014-01-01,126870,73014
2014-02-01,104463,43957
2014-03-01,278141,317538
2014-04-01,322353,117663
2014-05-01,196915,150518
2014-06-01,181910,64959
2014-07-01,167986,61908
2014-08-01,150045,71827
2014-09-01,117471,56969
2014-10-01,529328,439334
2014-11-01,830805,92406
2014-12-01,134371,69680
2015-01-01,169071,159108
2015-02-01,525318,220359
2015-03-01,184374,101626
2015-04-01,261691,143886
2015-05-01,226021,101825
2015-06-01,272544,137265
2015-07-01,219438,89896
2015-08-01,216850,131738
2015-09-01,234992,132269
2015-10-01,209565,110473
2015-11-01,299199,178722
2015-12-01,160802,90378
2016-01-01,181822,136056
2016-02-01,220709,146216
2016-03-01,355865,145658
2016-04-01,268317,106780
2016-05-01,312800,175490
2016-06-01,244690,116708
2016-07-01,363383,126433
2016-08-01,236515,113033
2016-09-01,810112,718202
2016-10-01,391470,159335
2016-11-01,201624,111198
2016-12-01,261984,128027
2017-01-01,798006,438644
2017-02-01,508463,264493
2017-03-01,251464,130686
2017-04-01,339385,166074
2017-05-01,348920,204003
2017-06-01,526449,234208
2017-07-01,352372,161097
2017-08-01,233448,108922
2017-09-01,273212,129319
2017-10-01,282965,159155
2017-11-01,275666,137806
2017-12-01,396239,207102
2018-01-01,347349,119943
2018-02-01,292089,216732
2018-03-01,577048,377810
2018-04-01,379498,153357
2018-05-01,367387,213807
2018-06-01,349991,309132
2018-07-01,346187,150058
2018-08-01,424214,216311
2018-09-01,294353,173409
2018-10-01,316308,151247
2018-11-01,328173,153787
2018-12-01,362848,189049
2019-01-01,495303,280918
2019-02-01,282795,236229
2019-03-01,505091,270675
2019-04-01,922197,747837
2019-05-01,419285,549010
2019-06-01,667306,177499
2019-07-01,422543,271042
2019-08-01,528502,434229
2019-09-01,377764,182539
2019-10-01,411806,182002
2019-11-01,269600,122740
2019-12-01,347198,167888
2020-01-01,467215,204126
2020-02-01,516297,961013
2020-03-01,432746,164789
2020-04-01,390936,205739
2020-05-01,354178,160446
2020-06-01,390418,182413
2020-07-01,472467,200475
2020-08-01,478643,209679
2020-09-01,714508,189957
2020-10-01,823169,563606
2020-11-01,365639,181340
2020-12-01,1463300,662283
2021-01-01,1695421,545691
2021-02-01,509840,937629
2021-03-01,639246,250103
2021-04-01,866375,304922
2021-05-01,2769157,1601560
2021-06-01,503964,364520
2021-07-01,1448927,905878
2021-08-01,474840,216357
2021-09-01,1535329,1458593
2021-10-01,,
2021-11-01,,
2021-12-01,,
2022-01-01,,
2022-02-01,,
2022-03-01,,
2022-04-01,,
2022-05-01,,
2022-06-01,,
2022-07-01,,
2022-08-01,719286,525024
2022-09-01,924079,655343
2022-10-01,1121138,907668
2022-11-01,571297,290834
2022-12-01,1373328,708711
2023-01-01,3621255,2486310
2023-02-01,535550,347730
2023-03-01,454734,244079
2023-04-01,506399,239821
2023-05-01,1092267,694619
2023-06-01,1574505,995244
2023-07-01,869687,433859
2023-08-01,821102,379236
2023-09-01,845085,602583
2023-10-01,1029558,743644
2023-11-01,520430,302870
2023-12-01,810902,311517
2024-01-01,208920,104627
2024-02-01,,
2024-03-01,,
2024-04-01,,
2024-05-01,,
