date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,,
2015-05-01,,
2015-06-01,,
2015-07-01,,
2015-08-01,,
2015-09-01,,
2015-10-01,,
2015-11-01,,
2015-12-01,,
2016-01-01,,
2016-02-01,,
2016-03-01,,
2016-04-01,,
2016-05-01,,
2016-06-01,,
2016-07-01,,
2016-08-01,,
2016-09-01,,
2016-10-01,,
2016-11-01,,
2016-12-01,,
2017-01-01,,
2017-02-01,,
2017-03-01,,
2017-04-01,,
2017-05-01,,
2017-06-01,,
2017-07-01,,
2017-08-01,,
2017-09-01,,
2017-10-01,,
2017-11-01,,
2017-12-01,,
2018-01-01,,
2018-02-01,,
2018-03-01,,
2018-04-01,,
2018-05-01,,
2018-06-01,,
2018-07-01,,
2018-08-01,,
2018-09-01,,
2018-10-01,,
2018-11-01,,
2018-12-01,,
2019-01-01,,
2019-02-01,,
2019-03-01,,
2019-04-01,,
2019-05-01,,
2019-06-01,,
2019-07-01,,
2019-08-01,,
2019-09-01,,
2019-10-01,,
2019-11-01,,
2019-12-01,,
2020-01-01,,
2020-02-01,,
2020-03-01,,
2020-04-01,,
2020-05-01,2814,0
2020-06-01,,
2020-07-01,6525,2203
2020-08-01,1911,1158
2020-09-01,1570,1787
2020-10-01,869,382
2020-11-01,1535,193
2020-12-01,3009,1156
2021-01-01,196,33
2021-02-01,1352,378
2021-03-01,243,12
2021-04-01,390,634
2021-05-01,603,227
2021-06-01,4,462
2021-07-01,12927,5703
2021-08-01,6855,6543
2021-09-01,3936,1820
2021-10-01,2076,1235
2021-11-01,385,119
2021-12-01,5815,3593
2022-01-01,270,246
2022-02-01,325,157
2022-03-01,,
2022-04-01,2032,1611
2022-05-01,2143,719
2022-06-01,66,23
2022-07-01,4208,1994
2022-08-01,1588,666
2022-09-01,3538,1074
2022-10-01,,
2022-11-01,,
2022-12-01,,
2023-01-01,,
2023-02-01,3,3
2023-03-01,538,189
2023-04-01,10,10
2023-05-01,369,26
2023-06-01,5986,1799
2023-07-01,5208,528
2023-08-01,,
2023-09-01,4,4
2023-10-01,,
2023-11-01,,
2023-12-01,,
2024-01-01,712,538
2024-02-01,211,126
2024-03-01,,
2024-04-01,,
2024-05-01,,
