date,add_lines,del_lines
2014-01-01,,
2014-02-01,328292,37
2014-03-01,2005,1664
2014-04-01,1077,809
2014-05-01,1930,372
2014-06-01,6747,98
2014-07-01,10259,799
2014-08-01,1109,559
2014-09-01,402,257
2014-10-01,,
2014-11-01,10541,686
2014-12-01,,
2015-01-01,25,11133
2015-02-01,6,6
2015-03-01,52394,290099
2015-04-01,8,12
2015-05-01,1,0
2015-06-01,652,652
2015-07-01,7,5
2015-08-01,1,8
2015-09-01,58,58
2015-10-01,114,54
2015-11-01,,
2015-12-01,1,2
2016-01-01,5,5
2016-02-01,,
2016-03-01,,
2016-04-01,54097,69618
2016-05-01,,
2016-06-01,,
2016-07-01,,
2016-08-01,198,54870
2016-09-01,,
2016-10-01,946,491
2016-11-01,1733,1174
2016-12-01,199,128
2017-01-01,1729,2040
2017-02-01,5435,4901
2017-03-01,3,2
2017-04-01,201,0
2017-05-01,,
2017-06-01,545,14448
2017-07-01,10,3
2017-08-01,,
2017-09-01,5,4
2017-10-01,,
2017-11-01,1141,567
2017-12-01,1484,721
2018-01-01,5202,1343
2018-02-01,271,158
2018-03-01,,
2018-04-01,,
2018-05-01,,
2018-06-01,,
2018-07-01,,
2018-08-01,2011,1014
2018-09-01,,
2018-10-01,,
2018-11-01,880,4484
2018-12-01,,
2019-01-01,,
2019-02-01,,
2019-03-01,,
2019-04-01,10,3
2019-05-01,,
2019-06-01,,
2019-07-01,,
2019-08-01,,
2019-09-01,,
2019-10-01,,
2019-11-01,12,65
2019-12-01,,
2020-01-01,,
2020-02-01,,
2020-03-01,,
2020-04-01,,
2020-05-01,,
2020-06-01,,
2020-07-01,,
2020-08-01,,
2020-09-01,,
2020-10-01,,
2020-11-01,,
2020-12-01,,
2021-01-01,,
2021-02-01,,
2021-03-01,,
2021-04-01,,
2021-05-01,,
2021-06-01,,
2021-07-01,,
2021-08-01,,
2021-09-01,,
2021-10-01,,
2021-11-01,,
2021-12-01,,
2022-01-01,,
2022-02-01,,
2022-03-01,,
2022-04-01,,
2022-05-01,,
2022-06-01,,
2022-07-01,,
2022-08-01,,
2022-09-01,,
2022-10-01,,
2022-11-01,,
2022-12-01,,
2023-01-01,,
2023-02-01,,
2023-03-01,,
2023-04-01,,
2023-05-01,,
2023-06-01,,
2023-07-01,,
2023-08-01,,
2023-09-01,,
2023-10-01,,
2023-11-01,,
2023-12-01,,
2024-01-01,,
2024-02-01,,
2024-03-01,,
2024-04-01,,
2024-05-01,,
