filename,add_lines,del_lines
CHANGES.md,23,0
README.md,12,12
binary-compatibility-validator/reference-public-api/kotlinx-coroutines-core.txt,70,36
binary-compatibility-validator/reference-public-api/kotlinx-coroutines-reactive.txt,20,0
binary-compatibility-validator/reference-public-api/kotlinx-coroutines-reactor.txt,17,0
binary-compatibility-validator/reference-public-api/kotlinx-coroutines-rx2.txt,10,0
binary-compatibility-validator/resources/api.properties,1,1
build.gradle,20,14
common/kotlinx-coroutines-core-common/test/channels/ChannelReceiveOrClosedTest.kt,141,0
docs/basics.md,2,2
docs/cancellation-and-timeouts.md,1,1
docs/channels.md,1,1
docs/composing-suspending-functions.md,1,1
docs/coroutine-context-and-dispatchers.md,4,3
docs/exception-handling.md,1,1
docs/select-expression.md,9,5
docs/shared-mutable-state-and-concurrency.md,1,1
gradle.properties,3,3
gradle/publish-bintray.gradle,15,29
integration/kotlinx-coroutines-jdk8/src/time/Time.kt,1,1
integration/kotlinx-coroutines-jdk8/test/time/DurationOverflowTest.kt,11,0
knit/src/Knit.kt,2,2
kotlinx-coroutines-bom/build.gradle,18,0
kotlinx-coroutines-core/README.md,3,3
kotlinx-coroutines-core/common/README.md,5,4
kotlinx-coroutines-core/common/src/Annotations.kt,1,0
kotlinx-coroutines-core/common/src/CancellableContinuationImpl.kt,2,2
kotlinx-coroutines-core/common/src/CoroutineScope.kt,7,0
kotlinx-coroutines-core/common/src/Debug.common.kt,3,1
kotlinx-coroutines-core/common/src/Dispatched.kt,9,2
kotlinx-coroutines-core/common/src/EventLoop.common.kt,426,41
kotlinx-coroutines-core/common/src/Job.kt,6,0
kotlinx-coroutines-core/common/src/JobSupport.kt,15,17
kotlinx-coroutines-core/common/src/NonCancellable.kt,5,0
kotlinx-coroutines-core/common/src/channels/AbstractChannel.kt,106,71
kotlinx-coroutines-core/common/src/channels/ArrayChannel.kt,4,3
kotlinx-coroutines-core/common/src/channels/Channel.kt,159,8
kotlinx-coroutines-core/common/src/channels/Channels.common.kt,44,0
kotlinx-coroutines-core/common/src/channels/ConflatedBroadcastChannel.kt,2,2
kotlinx-coroutines-core/common/src/channels/Produce.kt,2,2
kotlinx-coroutines-core/common/src/flow/Builders.kt,18,41
kotlinx-coroutines-core/common/src/flow/Channels.kt,124,13
kotlinx-coroutines-core/common/src/flow/Flow.kt,0,1
kotlinx-coroutines-core/common/src/flow/FlowCollector.kt,0,3
kotlinx-coroutines-core/common/src/flow/Migration.kt,138,56
kotlinx-coroutines-core/common/src/flow/internal/ChannelFlow.kt,5,6
kotlinx-coroutines-core/common/src/flow/internal/FlowCoroutine.kt,1,25
kotlinx-coroutines-core/common/src/flow/internal/FlowExceptions.common.kt,9,0
kotlinx-coroutines-core/common/src/flow/internal/NopCollector.kt,0,2
kotlinx-coroutines-core/common/src/flow/internal/SafeCollector.kt,14,2
kotlinx-coroutines-core/common/src/flow/operators/Context.kt,0,1
kotlinx-coroutines-core/common/src/flow/operators/Delay.kt,1,1
kotlinx-coroutines-core/common/src/flow/operators/Distinct.kt,22,2
kotlinx-coroutines-core/common/src/flow/operators/Emitters.kt,159,0
kotlinx-coroutines-core/common/src/flow/operators/Errors.kt,1,1
kotlinx-coroutines-core/common/src/flow/operators/Limit.kt,1,2
kotlinx-coroutines-core/common/src/flow/operators/Merge.kt,3,3
kotlinx-coroutines-core/common/src/flow/operators/Transform.kt,22,106
kotlinx-coroutines-core/common/src/flow/operators/Zip.kt,6,6
kotlinx-coroutines-core/common/src/flow/terminal/Collect.kt,13,2
kotlinx-coroutines-core/common/src/flow/terminal/Collection.kt,0,4
kotlinx-coroutines-core/common/src/flow/terminal/Count.kt,1,1
kotlinx-coroutines-core/common/src/flow/terminal/Reduce.kt,1,5
kotlinx-coroutines-core/common/src/internal/Atomic.kt,2,1
kotlinx-coroutines-core/common/src/internal/SegmentQueue.kt,7,4
kotlinx-coroutines-core/common/src/internal/Synchronized.common.kt,12,3
kotlinx-coroutines-core/common/src/internal/ThreadSafeHeap.common.kt,164,3
kotlinx-coroutines-core/common/src/selects/Select.kt,3,3
kotlinx-coroutines-core/common/src/sync/Mutex.kt,4,5
kotlinx-coroutines-core/common/src/sync/Semaphore.kt,28,30
kotlinx-coroutines-core/common/test/channels/BasicOperationsTest.kt,33,0
kotlinx-coroutines-core/common/test/channels/ProduceTest.kt,1,1
kotlinx-coroutines-core/common/test/channels/TestChannelKind.kt,3,0
kotlinx-coroutines-core/common/test/flow/channels/ChannelBuildersFlowTest.kt,70,0
kotlinx-coroutines-core/common/test/flow/channels/ChannelFlowTest.kt,21,1
kotlinx-coroutines-core/common/test/flow/operators/DistinctUntilChangedTest.kt,42,2
kotlinx-coroutines-core/common/test/flow/operators/IndexedTest.kt,45,0
kotlinx-coroutines-core/common/test/flow/operators/OnCompletionTest.kt,69,0
kotlinx-coroutines-core/common/test/flow/operators/OnStartTest.kt,17,0
kotlinx-coroutines-core/common/test/flow/operators/TransformTest.kt,20,0
kotlinx-coroutines-core/common/test/flow/terminal/SingleTest.kt,1,1
kotlinx-coroutines-core/common/test/selects/SelectArrayChannelTest.kt,98,0
kotlinx-coroutines-core/common/test/selects/SelectRendezvousChannelTest.kt,98,0
kotlinx-coroutines-core/common/test/sync/SemaphoreTest.kt,25,1
kotlinx-coroutines-core/js/src/Debug.kt,5,1
kotlinx-coroutines-core/js/src/EventLoop.kt,16,4
kotlinx-coroutines-core/js/src/internal/Synchronized.kt,12,4
kotlinx-coroutines-core/js/src/internal/ThreadSafeHeap.kt,10,0
kotlinx-coroutines-core/jvm/src/Builders.kt,3,3
kotlinx-coroutines-core/jvm/src/CommonPool.kt,2,2
kotlinx-coroutines-core/jvm/src/CoroutineContext.kt,1,25
kotlinx-coroutines-core/jvm/src/Debug.kt,47,20
kotlinx-coroutines-core/jvm/src/DebugStrings.kt,20,0
kotlinx-coroutines-core/jvm/src/DefaultExecutor.kt,9,9
kotlinx-coroutines-core/jvm/src/EventLoop.kt,15,305
kotlinx-coroutines-core/jvm/src/Executors.kt,2,2
kotlinx-coroutines-core/jvm/src/TimeSource.kt,50,20
kotlinx-coroutines-core/jvm/src/channels/TickerChannels.kt,3,3
kotlinx-coroutines-core/jvm/src/internal/LockFreeLinkedList.kt,8,8
kotlinx-coroutines-core/jvm/src/internal/LockFreeTaskQueue.kt,2,317
kotlinx-coroutines-core/jvm/src/internal/Synchronized.kt,12,4
kotlinx-coroutines-core/jvm/src/internal/ThreadSafeHeap.kt,7,158
kotlinx-coroutines-core/jvm/src/scheduling/CoroutineScheduler.kt,11,13
kotlinx-coroutines-core/jvm/src/scheduling/WorkQueue.kt,1,0
kotlinx-coroutines-core/jvm/test/TestBase.kt,3,0
kotlinx-coroutines-core/jvm/test/VirtualTimeSource.kt,2,2
kotlinx-coroutines-core/jvm/test/channels/TickerChannelCommonTest.kt,9,12
kotlinx-coroutines-core/jvm/test/exceptions/StackTraceRecoveryTest.kt,46,4
kotlinx-coroutines-core/jvm/test/flow/CallbackFlowTest.kt,2,2
kotlinx-coroutines-core/jvm/test/flow/FlatMapStressTest.kt,1,0
kotlinx-coroutines-core/jvm/test/guide/example-basic-01.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-basic-02.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-basic-02b.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-basic-03.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-basic-03s.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-basic-04.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-basic-05.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-basic-06.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-basic-07.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-cancel-01.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-cancel-02.kt,3,3
kotlinx-coroutines-core/jvm/test/guide/example-cancel-03.kt,3,3
kotlinx-coroutines-core/jvm/test/guide/example-cancel-04.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-cancel-05.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-cancel-06.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-cancel-07.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-channel-01.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-channel-02.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-channel-03.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-channel-04.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-channel-05.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-channel-06.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-channel-07.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-channel-08.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-channel-09.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-channel-10.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-compose-01.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-compose-02.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-compose-03.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-compose-04.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-compose-05.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-compose-06.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-context-01.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-context-02.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-context-03.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-context-04.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-context-05.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-context-06.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-context-07.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-context-08.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-context-09.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-context-10.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-context-11.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-exceptions-01.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-exceptions-02.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-exceptions-03.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-exceptions-04.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-exceptions-05.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-exceptions-06.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-select-01.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-select-02.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-select-03.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-select-04.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-select-05.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-supervision-01.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-supervision-02.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-supervision-03.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-sync-01.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-sync-02.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-sync-03.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-sync-04.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-sync-05.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-sync-06.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/example-sync-07.kt,1,1
kotlinx-coroutines-core/jvm/test/guide/test/TestUtil.kt,2,2
kotlinx-coroutines-core/native/src/CoroutineContext.kt,12,21
kotlinx-coroutines-core/native/src/Debug.kt,5,2
kotlinx-coroutines-core/native/src/EventLoop.kt,8,275
kotlinx-coroutines-core/native/src/internal/CopyOnWriteList.kt,1,0
kotlinx-coroutines-core/native/src/internal/LockFreeMPSCQueue.kt,0,239
kotlinx-coroutines-core/native/src/internal/Synchronized.kt,12,4
kotlinx-coroutines-core/native/src/internal/ThreadSafeHeap.kt,4,128
kotlinx-coroutines-core/native/test/WorkerTest.kt,35,0
kotlinx-coroutines-core/{jvm,,
kotlinx-coroutines-debug/README.md,2,2
kotlinx-coroutines-debug/build.gradle,31,0
kotlinx-coroutines-debug/test/RunningThreadStackMergeTest.kt,1,0
kotlinx-coroutines-test/README.md,1,1
reactive/coroutines-guide-reactive.md,11,11
reactive/kotlinx-coroutines-reactive/README.md,1,1
reactive/kotlinx-coroutines-reactive/src/Convert.kt,1,1
reactive/kotlinx-coroutines-reactive/src/Publish.kt,75,36
reactive/kotlinx-coroutines-reactive/test/IntegrationTest.kt,4,5
reactive/kotlinx-coroutines-reactive/test/PublishParentCancelStressTest.kt,0,65
reactive/kotlinx-coroutines-reactive/test/PublishTest.kt,17,103
reactive/kotlinx-coroutines-reactive/test/PublisherBackpressureTest.kt,2,2
reactive/kotlinx-coroutines-reactive/test/PublisherMultiTest.kt,1,1
reactive/kotlinx-coroutines-reactive/test/ReactiveStreamTckTest.kt,2,14
reactive/kotlinx-coroutines-reactive/test/flow/PublisherAsFlowTest.kt,6,6
reactive/kotlinx-coroutines-reactor/README.md,2,2
reactive/kotlinx-coroutines-reactor/build.gradle,8,0
reactive/kotlinx-coroutines-reactor/src/Convert.kt,3,3
reactive/kotlinx-coroutines-reactor/src/Flux.kt,46,9
reactive/kotlinx-coroutines-reactor/src/Mono.kt,32,11
reactive/kotlinx-coroutines-reactor/src/ReactorContext.kt,44,0
reactive/kotlinx-coroutines-reactor/test/ConvertTest.kt,5,5
reactive/kotlinx-coroutines-reactor/test/FluxMultiTest.kt,6,6
reactive/kotlinx-coroutines-reactor/test/FluxSingleTest.kt,16,16
reactive/kotlinx-coroutines-reactor/test/FluxTest.kt,10,18
reactive/kotlinx-coroutines-reactor/test/MonoTest.kt,28,34
reactive/kotlinx-coroutines-reactor/test/ReactorContextTest.kt,32,0
reactive/kotlinx-coroutines-rx2/README.md,5,5
reactive/kotlinx-coroutines-rx2/src/RxCompletable.kt,38,10
reactive/kotlinx-coroutines-rx2/src/RxConvert.kt,4,4
reactive/kotlinx-coroutines-rx2/src/RxFlowable.kt,22,9
reactive/kotlinx-coroutines-rx2/src/RxMaybe.kt,38,10
reactive/kotlinx-coroutines-rx2/src/RxObservable.kt,80,36
reactive/kotlinx-coroutines-rx2/src/RxSingle.kt,38,10
reactive/kotlinx-coroutines-rx2/test/CompletableTest.kt,30,24
reactive/kotlinx-coroutines-rx2/test/ConvertTest.kt,5,5
reactive/kotlinx-coroutines-rx2/test/FlowableExceptionHandlingTest.kt,246,113
reactive/kotlinx-coroutines-rx2/test/FlowableTest.kt,5,18
reactive/kotlinx-coroutines-rx2/test/IntegrationTest.kt,3,4
reactive/kotlinx-coroutines-rx2/test/MaybeTest.kt,39,33
reactive/kotlinx-coroutines-rx2/test/ObservableExceptionHandlingTest.kt,244,111
reactive/kotlinx-coroutines-rx2/test/ObservableMultiTest.kt,1,1
reactive/kotlinx-coroutines-rx2/test/ObservableTest.kt,5,18
reactive/kotlinx-coroutines-rx2/test/SingleTest.kt,43,33
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-basic-01.kt,1,1
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-basic-02.kt,1,1
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-basic-03.kt,1,1
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-basic-04.kt,1,1
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-basic-05.kt,1,1
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-basic-06.kt,1,1
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-basic-07.kt,1,1
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-basic-08.kt,1,1
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-basic-09.kt,1,1
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-context-01.kt,1,1
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-context-02.kt,2,2
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-context-03.kt,2,2
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-context-04.kt,1,1
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-context-05.kt,1,1
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-operators-01.kt,1,1
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-operators-02.kt,3,3
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-operators-03.kt,3,3
reactive/kotlinx-coroutines-rx2/test/guide/example-reactive-operators-04.kt,3,3
settings.gradle,2,0
ui/coroutines-guide-ui.md,2,2
ui/kotlinx-coroutines-android/animation-app/app/build.gradle,0,1
ui/kotlinx-coroutines-android/animation-app/build.gradle,1,1
ui/kotlinx-coroutines-android/animation-app/gradle.properties,2,2
ui/kotlinx-coroutines-android/animation-app/gradle/wrapper/gradle-wrapper.properties,1,2
ui/kotlinx-coroutines-android/build.gradle,85,0
ui/kotlinx-coroutines-android/example-app/app/build.gradle,0,1
ui/kotlinx-coroutines-android/example-app/build.gradle,1,1
ui/kotlinx-coroutines-android/example-app/gradle.properties,2,2
ui/kotlinx-coroutines-android/example-app/gradle/wrapper/gradle-wrapper.properties,1,2
ui/kotlinx-coroutines-android/r8-test-common.pro,12,0
ui/kotlinx-coroutines-android/r8-test-rules-no-optim.pro,4,0
ui/kotlinx-coroutines-android/r8-test-rules.pro,7,0
ui/kotlinx-coroutines-android/resources/META-INF/com.android.tools/proguard/coroutines.pro,5,0
ui/kotlinx-coroutines-android/resources/META-INF/com.android.tools/r8-max-1.5.999/coroutines.pro,5,0
ui/kotlinx-coroutines-android/resources/META-INF/com.android.tools/r8-min-1.6.0/coroutines.pro,6,0
ui/kotlinx-coroutines-android/resources/META-INF/proguard/coroutines.pro,7,0
ui/kotlinx-coroutines-android/src/HandlerDispatcher.kt,0,1
ui/kotlinx-coroutines-android/test/R8ServiceLoaderOptimizationTest.kt,61,0
ui/kotlinx-coroutines-javafx/test/guide/example-ui-actor-01.kt,1,1
ui/kotlinx-coroutines-javafx/test/guide/example-ui-actor-02.kt,1,1
ui/kotlinx-coroutines-javafx/test/guide/example-ui-actor-03.kt,1,1
ui/kotlinx-coroutines-javafx/test/guide/example-ui-advanced-01.kt,1,1
ui/kotlinx-coroutines-javafx/test/guide/example-ui-advanced-02.kt,1,1
ui/kotlinx-coroutines-javafx/test/guide/example-ui-basic-01.kt,1,1
ui/kotlinx-coroutines-javafx/test/guide/example-ui-basic-02.kt,1,1
ui/kotlinx-coroutines-javafx/test/guide/example-ui-basic-03.kt,1,1
