filename,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01
gradle.properties,0,142,142,142,142,142,0,142,142,142,142,141,141,140,134,132,123,117,114,111,108,107,102,97,96,92,89,86,85,84,82,80,75,74,71,68,67,65,61,58,56,51,51,48,47,45,44,42,40,39,38,37,34,33,31,28,27,27,27,27,26,24,22,20,19,17,16,16,15,14,14,13,12,11,9,7,6,5,3,2,2,1,0
README.md,0,132,131,128,111,106,0,97,97,94,93,91,91,89,86,85,82,78,75,73,72,69,68,66,65,64,63,61,60,56,55,55,53,51,49,49,48,48,48,44,42,38,38,38,38,35,35,34,31,30,29,29,27,25,24,23,23,22,22,22,19,18,17,16,16,15,13,12,11,10,9,9,8,8,8,5,5,3,1,1,1,0,0
build.gradle,0,117,114,110,102,97,0,93,93,91,90,88,88,86,80,79,72,68,66,64,62,61,58,56,55,53,52,52,51,50,48,46,45,44,44,43,42,40,39,36,35,34,33,33,32,31,30,29,27,25,24,23,22,21,21,20,19,19,19,19,18,14,13,12,10,7,6,6,6,6,6,6,6,4,3,3,3,2,0,0,0,0,0
integration-test/gradle.properties,0,59,59,59,59,59,0,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,56,56,55,54,52,51,51,50,49,47,46,45,43,43,42,39,37,35,33,33,30,29,27,27,25,24,23,22,21,19,19,18,16,16,16,16,16,15,15,13,12,11,10,10,9,8,7,7,7,6,6,5,4,4,3,1,1,1,0,0
CHANGELOG.md,0,48,48,48,48,48,0,48,48,48,48,47,47,46,45,44,44,42,41,40,39,39,39,38,38,37,37,36,35,35,34,34,34,34,33,33,33,33,33,30,28,26,26,26,26,24,24,23,21,21,20,20,17,17,16,15,15,15,15,15,14,13,11,10,10,9,9,9,7,6,6,6,5,5,5,3,3,3,1,1,1,0,0
formats/protobuf/commonMain/src/kotlinx/serialization/protobuf/ProtoBuf.kt,0,46,46,46,46,46,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,43,42,31,23,17,17,15,7,6,5,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
runtime/common/src/main/kotlin/kotlinx/serialization/json/JSON.kt,0,44,44,44,38,36,0,34,34,34,31,26,24,24,20,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
runtime/commonMain/src/kotlinx/serialization/json/Json.kt,0,39,39,39,39,39,0,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,38,37,34,34,34,34,34,33,31,22,21,19,19,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
formats/cbor/commonMain/src/kotlinx/serialization/cbor/Cbor.kt,0,35,35,35,35,35,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,33,30,19,17,14,14,12,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core/api/kotlinx-serialization-core.api,0,35,35,35,35,35,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,33,31,30,27,26,26,26,25,25,24,23,21,21,21,19,19,17,17,17,17,16,13,10,10,8,7,7,7,6,5,5,4,3,3,2,1,1,1,1,1,1,0,0
formats/json/commonMain/src/kotlinx/serialization/json/Json.kt,0,33,33,33,33,33,0,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,31,29,29,29,29,29,27,23,22,22,21,19,16,16,16,15,15,15,15,15,15,12,10,10,10,10,10,10,8,8,8,7,6,6,5,5,4,3,3,1,1,0,0
formats/README.md,0,33,33,33,33,33,0,33,33,32,32,32,32,32,32,32,32,32,32,31,30,30,30,30,30,30,30,30,28,27,27,27,25,25,24,24,24,24,24,22,20,19,18,17,17,17,17,17,16,15,13,13,13,11,11,11,10,10,10,10,9,9,9,9,9,9,8,8,8,8,6,6,6,4,4,4,3,2,2,2,2,2,1
formats/json/commonMain/src/kotlinx/serialization/json/internal/StreamingJsonDecoder.kt,0,31,31,31,31,31,0,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,29,29,29,27,27,26,23,21,20,19,19,18,17,17,17,17,17,17,17,16,12,11,11,11,9,9,9,9,6,6,6,6,6,5,5,3,1,1,0,0,0,0
runtime/common/src/main/kotlin/kotlinx/serialization/Tagged.kt,0,30,30,30,28,25,0,23,23,21,21,21,21,21,21,20,9,8,5,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
settings.gradle,0,28,27,26,23,23,0,23,23,22,22,22,22,21,18,18,16,15,15,15,15,15,13,12,12,11,11,11,11,11,11,9,8,8,8,8,8,8,7,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
runtime/api/kotlinx-serialization-runtime.api,0,28,28,28,28,28,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
formats/json/api/kotlinx-serialization-json.api,0,28,28,28,28,28,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,26,26,25,25,25,25,21,21,21,20,18,17,17,16,16,16,16,16,16,15,13,12,12,12,11,11,11,10,10,9,9,7,7,5,4,3,2,2,1,0,0,0
runtime/commonMain/src/kotlinx/serialization/json/internal/TreeJsonInput.kt,0,27,27,27,27,27,0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,25,25,21,21,21,21,19,18,17,10,10,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docs/polymorphism.md,0,27,27,27,27,27,0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,25,25,25,24,24,24,24,23,23,23,23,22,21,16,14,14,14,14,14,14,14,13,12,12,12,12,11,10,9,9,9,8,8,8,7,7,7,6,5,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0
runtime/common/src/main/kotlin/kotlinx/serialization/protobuf/ProtoBuf.kt,0,26,26,26,23,22,0,21,21,21,21,20,20,19,19,19,9,6,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
runtime/common/src/main/kotlin/kotlinx/serialization/json/JsonTreeMapper.kt,0,26,26,26,26,26,0,26,26,26,26,26,26,26,22,22,15,11,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docs/runtime_usage.md,0,26,26,26,26,26,0,23,23,23,22,22,22,22,21,21,20,19,17,16,15,14,12,10,10,9,9,8,8,8,8,8,7,6,6,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docs/custom_serializers.md,0,26,26,26,26,24,0,21,21,21,21,21,21,21,21,21,21,19,15,14,12,11,10,10,9,7,7,7,7,7,7,7,7,5,5,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
runtime/commonMain/src/kotlinx/serialization/internal/Tuples.kt,0,24,24,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,21,21,20,18,15,9,7,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
runtime/commonMain/src/kotlinx/serialization/internal/Enums.kt,0,24,24,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,22,22,22,22,22,22,19,18,13,8,8,8,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
runtime/common/src/main/kotlin/kotlinx/serialization/internal/CollectionSerializers.kt,0,24,24,24,22,20,0,14,14,14,14,13,13,13,13,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
integration-test/src/commonTest/kotlin/sample/JsonTest.kt,0,24,24,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,21,21,20,19,18,18,18,18,17,17,15,14,14,14,11,6,5,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
integration-test/build.gradle,0,24,24,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,22,22,22,21,20,20,20,18,17,17,17,17,16,16,15,14,12,12,12,11,11,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,4,3,0,0,0,0
formats/json/commonMain/src/kotlinx/serialization/json/internal/TreeJsonDecoder.kt,0,24,24,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,22,22,22,19,19,18,15,13,11,10,10,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,6,6,6,5,5,4,4,3,1,1,1,0,0,0,0
docs/serialization-guide.md,0,24,24,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,21,20,19,19,18,18,18,16,16,16,16,14,13,13,12,12,11,10,10,10,9,9,8,8,7,5,5,5,4,4,4,4,3,3,2,2,1,1,1,0,0,0,0
runtime/jvm/src/main/kotlin/kotlinx/serialization/Serialization.kt,0,23,23,23,20,17,0,14,13,12,12,11,10,9,9,9,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
runtime/commonTest/src/kotlinx/serialization/features/ContextAndPolymorphicTest.kt,0,23,23,23,23,23,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,21,21,21,21,21,21,21,19,12,11,11,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
runtime/commonMain/src/kotlinx/serialization/json/JsonElementSerializer.kt,0,23,23,23,23,23,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,21,21,21,21,21,21,20,19,18,8,8,8,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
runtime/commonMain/src/kotlinx/serialization/SealedSerializer.kt,0,23,23,23,23,23,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,18,17,14,12,9,8,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
runtime/commonMain/src/kotlinx/serialization/Annotations.kt,0,23,23,23,23,23,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,21,20,20,20,19,19,19,17,17,15,14,13,13,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
runtime/commonMain/src/kotlinx/serialization/json/internal/TreeJsonOutput.kt,0,22,22,22,22,22,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,20,20,16,16,16,16,14,13,13,8,6,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
runtime/commonMain/src/kotlinx/serialization/internal/Util.kt,0,22,22,22,22,22,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,19,16,12,7,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
runtime/commonMain/src/kotlinx/serialization/Migrations.kt,0,22,22,22,22,22,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,18,15,15,15,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
formats/properties/commonMain/src/kotlinx/serialization/Properties.kt,0,22,22,22,22,22,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,19,12,11,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
formats/config/src/main/kotlin/org/jetbrains/kotlinx/serialization/config/ConfigReader.kt,0,22,22,22,22,22,0,22,22,21,21,21,21,21,21,21,13,11,10,10,10,10,7,7,7,7,7,7,6,6,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
