filename,add_lines,del_lines
README.md,38,15
build.gradle,6,6
docs/custom_serializers.md,25,18
docs/runtime_usage.md,11,6
example-js/build.gradle,2,2
example-jvm/README.md,1,1
example-jvm/build.gradle,2,3
example-jvm/pom.xml,2,2
runtime/common/src/main/kotlin/kotlinx/serialization/Serialization.kt,47,11
runtime/common/src/main/kotlin/kotlinx/serialization/Tagged.kt,17,11
runtime/common/src/main/kotlin/kotlinx/serialization/cbor/CBOR.kt,4,1
runtime/common/src/main/kotlin/kotlinx/serialization/internal/BuiltinSerializers.kt,8,0
runtime/common/src/main/kotlin/kotlinx/serialization/internal/CollectionSerializers.kt,82,36
runtime/common/src/main/kotlin/kotlinx/serialization/json/JSON.kt,6,2
runtime/common/src/test/kotlin/kotlinx/serialization/CustomSerializersTest.kt,9,0
runtime/common/src/test/kotlin/kotlinx/serialization/UpdateTest.kt,112,25
runtime/common/src/test/kotlin/kotlinx/serialization/protobuf/ProtobufReaderTest.kt,5,0
runtime/common/src/test/kotlin/kotlinx/serialization/protobuf/SampleClasses.kt,6,0
runtime/js/src/main/kotlin/kotlinx/serialization/DynamicObjectParser.kt,21,6
runtime/js/src/test/kotlin/kotlinx/serialization/DynamicParserTest.kt,25,0
runtime/jvm/build.gradle,1,1
runtime/jvm/src/main/kotlin/kotlinx/serialization/PolymorphicSerializer.kt,5,5
runtime/jvm/src/main/kotlin/kotlinx/serialization/Resolving.kt,48,22
runtime/jvm/src/main/kotlin/kotlinx/serialization/Serialization.kt,1,1
runtime/jvm/src/main/kotlin/kotlinx/serialization/internal/Polymorphic.kt,3,4
runtime/jvm/src/test/kotlin/kotlinx/serialization/CustomSerializersJVMTest.kt,9,0
runtime/jvm/src/test/kotlin/kotlinx/serialization/features/PolymorphicTest.kt,0,25
runtime/jvm/src/test/kotlin/kotlinx/serialization/features/ResolvingTest.kt,78,0
runtime/jvm/src/test/kotlin/kotlinx/serialization/features/UpdateCustomTest.kt,73,7
